"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1"
0.000,-0.0023,,
0.020,-0.0022,0.009,
0.040,-0.0019,0.006,-0.101
0.060,-0.0019,0.005,-0.042
0.080,-0.0018,0.005,-0.017
0.100,-0.0017,0.005,-0.025
0.120,-0.0016,0.004,-0.042
0.140,-0.0016,0.003,-0.051
0.160,-0.0015,0.002,-0.051
0.180,-0.0015,0.001,-0.042
0.200,-0.0015,0.000,-0.017
0.220,-0.0015,0.000,0.025
0.240,-0.0015,0.001,0.076
0.260,-0.0015,0.003,0.135
0.280,-0.0013,0.006,0.227
0.300,-0.0012,0.011,0.362
0.320,-9.7010E-4,0.020,0.497
0.340,-4.8505E-4,0.032,0.573
0.360,3.6379E-4,0.044,0.581
0.380,0.0013,0.056,0.573
0.400,0.0025,0.067,0.581
0.420,0.0040,0.079,0.606
0.440,0.0057,0.091,0.632
0.460,0.0076,0.104,0.640
0.480,0.0098,0.117,0.623
0.500,0.0124,0.129,0.589
0.520,0.0150,0.140,0.573
0.540,0.0179,0.152,0.581
0.560,0.0211,0.164,0.589
0.580,0.0245,0.176,0.581
0.600,0.0281,0.187,0.573
0.620,0.0320,0.198,0.581
0.640,0.0360,0.210,0.589
0.660,0.0404,0.222,0.581
0.680,0.0450,0.233,0.573
0.700,0.0497,0.245,0.581
0.720,0.0547,0.257,0.581
0.740,0.0600,0.269,0.556
0.760,0.0655,0.279,0.531
0.780,0.0712,0.289,0.539
0.800,0.0770,0.300,0.573
0.820,0.0832,0.312,0.598
0.840,0.0895,0.324,0.615
0.860,0.0962,0.337,0.632
0.880,0.1030,0.350,0.640
0.900,0.1101,0.363,0.623
0.920,0.1175,0.375,0.589
0.940,0.1251,0.386,0.564
0.960,0.1329,0.397,0.556
0.980,0.1410,0.408,0.556
1.000,0.1493,0.419,0.556
1.020,0.1578,0.430,0.547
1.040,0.1665,0.442,0.539
1.060,0.1755,0.452,0.547
1.080,0.1846,0.463,0.581
1.100,0.1939,0.475,0.615
1.120,0.2036,0.488,0.615
1.140,0.2134,0.500,0.589
1.160,0.2236,0.511,0.564
1.180,0.2339,0.522,0.556
1.200,0.2445,0.534,0.547
1.220,0.2553,0.545,0.531
1.240,0.2663,0.555,0.522
1.260,0.2774,0.565,0.539
1.280,0.2888,0.576,0.564
1.300,0.3005,0.588,0.573
1.320,0.3124,0.599,0.564
1.340,0.3245,0.610,0.556
1.360,0.3367,0.621,0.547
1.380,0.3494,0.633,0.522
1.400,0.3621,0.643,0.505
1.420,0.3751,0.652,0.522
1.440,0.3882,0.663,0.564
1.460,0.4015,0.675,0.589
1.480,0.4152,0.687,0.564
1.500,0.4290,0.698,0.514
1.520,0.4431,0.707,0.472
1.540,0.4574,0.716,0.463
1.560,0.4717,0.726,0.497
1.580,0.4864,0.736,0.547
1.600,0.5012,0.748,0.581
1.620,0.5162,0.760,0.564
1.640,0.5316,0.771,0.505
1.660,0.5471,0.780,0.463
1.680,0.5628,0.788,0.472
1.700,0.5787,0.798,0.514
1.720,0.5947,0.809,0.539
1.740,0.6110,0.821,0.514
1.760,0.6275,0.831,0.472
1.780,0.6443,0.839,0.455
1.800,0.6611,0.848,0.480
1.820,0.6781,0.858,0.514
1.840,0.6954,0.869,0.514
1.860,0.7129,0.879,0.488
1.880,0.7306,0.888,0.455
1.900,0.7484,0.897,0.438
1.920,0.7665,0.905,0.438
1.940,0.7847,0.915,0.455
1.960,0.8030,0.924,0.472
1.980,0.8217,0.934,0.463
2.000,0.8403,0.943,0.438
2.020,0.8594,0.951,0.421
2.040,0.8784,0.959,0.438
2.060,0.8977,0.968,0.455
2.080,0.9171,0.978,0.429
2.100,0.9369,0.986,0.371
2.120,0.9566,0.992,0.337
2.140,0.9765,0.998,0.362
2.160,0.9965,1.006,0.404
2.180,1.0168,1.016,0.413
2.200,1.0372,1.024,0.396
2.220,1.0578,1.031,0.387
2.240,1.0784,1.039,0.396
2.260,1.0992,1.047,0.396
2.280,1.1203,1.055,0.379
2.300,1.1414,1.062,0.379
2.320,1.1628,1.069,0.404
2.340,1.1842,1.078,0.438
2.360,1.2058,1.087,0.261
2.380,1.2278,1.096,-2.189
2.400,1.2497,1.082,-8.598
2.420,1.2719,0.821,-16.471
2.440,1.2916,0.331,-19.714
2.460,1.2844,-0.129,-14.956
2.480,1.2770,-0.333,-6.686
2.500,1.2709,-0.309,-0.909
2.520,1.2650,-0.291,0.775
2.540,1.2593,-0.281,0.623
2.560,1.2537,-0.269,0.573
2.580,1.2485,-0.257,0.531
2.600,1.2435,-0.247,0.455
2.620,1.2387,-0.239,0.421
2.640,1.2340,-0.231,0.455
2.660,1.2294,-0.221,0.497
2.680,1.2251,-0.210,0.480
2.700,1.2210,-0.201,0.421
2.720,1.2171,-0.194,0.379
2.740,1.2132,-0.187,0.387
2.760,1.2096,-0.179,0.421
2.780,1.2061,-0.170,0.446
2.800,1.2028,-0.161,0.455
2.820,1.1996,-0.152,0.455
2.840,1.1967,-0.142,0.455
2.860,1.1939,-0.133,
2.880,1.1914,-0.124,
2.900,1.1890,,
