"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1"
0.000,-3.6379E-4,,
0.020,-3.6379E-4,-0.003,
0.040,-4.8505E-4,-0.002,0.051
0.060,-4.8505E-4,-0.001,0.067
0.080,-4.8505E-4,0.001,0.059
0.100,-4.8505E-4,0.002,0.025
0.120,-3.6379E-4,0.002,-0.008
0.140,-3.6379E-4,0.001,-3.795E-17
0.160,-3.6379E-4,0.001,0.042
0.180,-3.6379E-4,0.003,0.067
0.200,-2.4252E-4,0.005,0.025
0.220,-1.2126E-4,0.005,-0.067
0.240,0.0000,0.002,-0.160
0.260,0.0000,-0.002,-0.211
0.280,-1.2126E-4,-0.007,-0.219
0.300,-2.4252E-4,-0.011,-0.211
0.320,-6.0631E-4,-0.015,-0.194
0.340,-8.4884E-4,-0.019,-0.168
0.360,-0.0013,-0.022,-0.118
0.380,-0.0018,-0.024,-0.051
0.400,-0.0023,-0.024,0.017
0.420,-0.0028,-0.023,0.076
0.440,-0.0033,-0.021,0.109
0.460,-0.0036,-0.018,0.101
0.480,-0.0040,-0.016,0.051
0.500,-0.0042,-0.016,-0.008
0.520,-0.0046,-0.017,-0.025
0.540,-0.0050,-0.018,0.017
0.560,-0.0053,-0.017,0.093
0.580,-0.0057,-0.014,0.160
0.600,-0.0059,-0.010,0.194
0.620,-0.0061,-0.006,0.202
0.640,-0.0062,-0.002,0.211
0.660,-0.0062,0.002,0.227
0.680,-0.0061,0.007,0.244
0.700,-0.0059,0.012,0.253
0.720,-0.0056,0.017,0.236
0.740,-0.0052,0.022,0.185
0.760,-0.0047,0.025,0.109
0.780,-0.0041,0.026,0.042
0.800,-0.0036,0.026,0.017
0.820,-0.0032,0.026,0.025
0.840,-0.0025,0.027,0.042
0.860,-0.0021,0.028,0.059
0.880,-0.0015,0.029,0.084
0.900,-8.4884E-4,0.031,0.126
0.920,-2.4252E-4,0.034,0.168
0.940,4.8505E-4,0.038,0.185
0.960,0.0013,0.042,0.177
0.980,0.0022,0.045,0.160
1.000,0.0032,0.049,0.152
1.020,0.0041,0.052,0.160
1.040,0.0052,0.055,0.177
1.060,0.0063,0.059,0.194
1.080,0.0075,0.063,0.202
1.100,0.0089,0.067,0.202
1.120,0.0102,0.071,0.194
1.140,0.0116,0.075,0.177
1.160,0.0132,0.078,0.160
1.180,0.0148,0.081,0.160
1.200,0.0164,0.084,0.177
1.220,0.0182,0.088,0.185
1.240,0.0199,0.092,0.177
1.260,0.0218,0.095,0.160
1.280,0.0238,0.098,0.168
1.300,0.0257,0.101,0.194
1.320,0.0278,0.106,0.202
1.340,0.0300,0.110,0.185
1.360,0.0323,0.113,0.168
1.380,0.0344,0.116,0.177
1.400,0.0369,0.120,0.177
1.420,0.0393,0.124,0.160
1.440,0.0418,0.126,0.152
1.460,0.0444,0.129,0.177
1.480,0.0469,0.133,0.211
1.500,0.0497,0.138,0.211
1.520,0.0525,0.142,0.185
1.540,0.0554,0.146,0.160
1.560,0.0583,0.149,0.152
1.580,0.0614,0.152,0.152
1.600,0.0644,0.155,0.160
1.620,0.0675,0.158,0.177
1.640,0.0707,0.162,0.194
1.660,0.0740,0.166,0.194
1.680,0.0774,0.170,0.177
1.700,0.0808,0.173,0.160
1.720,0.0843,0.176,0.152
1.740,0.0878,0.179,0.160
1.760,0.0914,0.182,0.177
1.780,0.0951,0.186,0.194
1.800,0.0988,0.190,0.202
1.820,0.1027,0.194,0.202
1.840,0.1066,0.198,0.202
1.860,0.1106,0.202,0.194
1.880,0.1147,0.206,0.177
1.900,0.1188,0.209,0.168
1.920,0.1231,0.212,0.177
1.940,0.1273,0.216,0.194
1.960,0.1317,0.220,0.185
1.980,0.1362,0.224,0.152
2.000,0.1407,0.226,0.135
2.020,0.1453,0.228,0.152
2.040,0.1498,0.232,0.185
2.060,0.1545,0.236,0.185
2.080,0.1593,0.241,0.160
2.100,0.1641,0.243,0.152
2.120,0.1690,0.246,0.160
2.140,0.1739,0.250,0.168
2.160,0.1790,0.253,0.152
2.180,0.1841,0.256,0.135
2.200,0.1892,0.258,0.143
2.220,0.1944,0.261,0.177
2.240,0.1996,0.265,0.219
2.260,0.2049,0.270,0.227
2.280,0.2104,0.275,0.194
2.300,0.2160,0.278,0.143
2.320,0.2215,0.280,0.118
2.340,0.2271,0.282,0.126
2.360,0.2328,0.285,0.143
2.380,0.2385,0.288,0.152
2.400,0.2443,0.291,0.152
2.420,0.2502,0.294,0.152
2.440,0.2561,0.297,0.143
2.460,0.2620,0.300,0.126
2.480,0.2681,0.302,0.118
2.500,0.2742,0.304,0.135
2.520,0.2802,0.307,0.168
2.540,0.2864,0.311,0.185
2.560,0.2927,0.315,0.177
2.580,0.2990,0.318,0.160
2.600,0.3055,0.321,0.152
2.620,0.3119,0.324,0.152
2.640,0.3184,0.327,0.143
2.660,0.3250,0.330,0.126
2.680,0.3317,0.332,0.118
2.700,0.3383,0.334,0.126
2.720,0.3450,0.338,0.135
2.740,0.3518,0.341,0.118
2.760,0.3587,0.343,0.093
2.780,0.3655,0.344,0.093
2.800,0.3724,0.346,0.118
2.820,0.3793,0.349,0.143
2.840,0.3863,0.352,0.152
2.860,0.3934,0.355,0.160
2.880,0.4005,0.358,0.177
2.900,0.4077,0.362,0.185
2.920,0.4150,0.366,0.168
2.940,0.4224,0.369,0.135
2.960,0.4298,0.371,0.109
2.980,0.4372,0.373,0.101
3.000,0.4447,0.375,0.101
3.020,0.4522,0.377,0.101
3.040,0.4597,0.379,0.101
3.060,0.4673,0.381,0.101
3.080,0.4750,0.383,0.118
3.100,0.4826,0.385,0.152
3.120,0.4904,0.389,0.168
3.140,0.4981,0.393,0.152
3.160,0.5061,0.395,0.126
3.180,0.5140,0.397,0.135
3.200,0.5219,0.400,0.152
3.220,0.5300,0.404,0.126
3.240,0.5382,0.406,0.076
3.260,0.5463,0.406,0.051
3.280,0.5544,0.407,0.076
3.300,0.5625,0.409,0.118
3.320,0.5708,0.412,0.135
3.340,0.5790,0.415,0.126
3.360,0.5874,0.417,0.109
3.380,0.5958,0.419,0.118
3.400,0.6041,0.421,0.152
3.420,0.6126,0.425,0.177
3.440,0.6211,0.429,0.160
3.460,0.6298,0.433,0.101
3.480,0.6384,0.434,0.051
3.500,0.6472,0.434,0.042
3.520,0.6558,0.435,0.076
3.540,0.6645,0.437,0.109
3.560,0.6732,0.440,0.118
3.580,0.6821,0.442,0.109
3.600,0.6910,0.444,0.109
3.620,0.6998,0.446,0.126
3.640,0.7088,0.449,0.126
3.660,0.7178,0.452,0.101
3.680,0.7268,0.453,0.067
3.700,0.7359,0.454,0.051
3.720,0.7449,0.455,0.051
3.740,0.7541,0.456,0.051
3.760,0.7632,0.457,0.067
3.780,0.7723,0.458,0.093
3.800,0.7815,0.461,0.101
3.820,0.7908,0.463,0.093
3.840,0.8001,0.464,0.084
3.860,0.8093,0.466,0.093
3.880,0.8186,0.468,0.093
3.900,0.8281,0.470,0.067
3.920,0.8374,0.471,0.034
3.940,0.8469,0.471,0.008
3.960,0.8564,0.471,0.017
3.980,0.8657,0.471,0.051
4.000,0.8751,0.473,0.076
4.020,0.8846,0.475,0.076
4.040,0.8942,0.476,0.059
4.060,0.9036,0.477,0.059
4.080,0.9132,0.478,0.059
4.100,0.9228,0.480,0.042
4.120,0.9324,0.480,0.017
4.140,0.9421,0.480,1.568E-13
4.160,0.9515,0.480,1.110E-13
4.180,0.9612,0.480,0.000
4.200,0.9708,0.480,0.008
4.220,0.9804,0.480,0.025
4.240,0.9900,0.481,0.042
4.260,0.9997,0.482,0.051
4.280,1.0093,0.483,0.051
4.300,1.0190,0.484,0.042
4.320,1.0287,0.485,0.025
4.340,1.0384,0.485,9.021E-14
4.360,1.0481,0.485,-0.025
4.380,1.0578,0.484,-0.034
4.400,1.0675,0.483,-0.008
4.420,1.0771,0.483,0.042
4.440,1.0868,0.485,0.076
4.460,1.0965,0.487,0.076
4.480,1.1063,0.488,0.051
4.500,1.1160,0.489,0.025
4.520,1.1258,0.489,-4.441E-14
4.540,1.1356,0.489,-0.017
4.560,1.1453,0.488,-0.017
4.580,1.1551,0.488,-0.008
4.600,1.1648,0.488,0.017
4.620,1.1747,0.488,0.051
4.640,1.1844,0.490,0.076
4.660,1.1942,0.492,0.067
4.680,1.2041,0.493,0.034
4.700,1.2140,0.493,0.008
4.720,1.2238,0.493,-0.008
4.740,1.2337,0.493,-0.017
4.760,1.2435,0.492,0.008
4.780,1.2534,0.492,0.101
4.800,1.2632,0.495,0.160
4.820,1.2731,0.502,-0.404
4.840,1.2832,0.501,-2.206
4.860,1.2936,0.438,-4.766
4.880,1.3028,0.295,-6.383
4.900,1.3060,0.136,-5.735
4.920,1.3062,0.036,-3.503
4.940,1.3066,0.008,-1.415
4.960,1.3066,0.003,-0.371
4.980,1.3066,0.000,-0.093
5.000,1.3066,0.000,-0.025
5.020,1.3066,0.000,0.000
5.040,1.3066,0.000,0.000
5.060,1.3066,0.000,0.000
5.080,1.3066,0.000,0.000
5.100,1.3066,0.000,0.000
5.120,1.3066,0.000,0.000
5.140,1.3066,0.000,0.000
5.160,1.3066,0.000,0.000
5.180,1.3066,0.000,0.000
5.200,1.3066,0.000,0.000
5.220,1.3066,0.000,0.000
5.240,1.3066,0.000,0.000
5.260,1.3066,0.000,0.000
5.280,1.3066,0.000,0.000
5.300,1.3066,0.000,0.000
5.320,1.3066,0.000,0.000
5.340,1.3066,0.000,0.000
5.360,1.3066,0.000,0.000
5.380,1.3066,0.000,0.000
5.400,1.3066,0.000,0.000
5.420,1.3066,0.000,0.000
5.440,1.3066,0.000,0.000
5.460,1.3066,0.000,0.000
5.480,1.3066,0.000,0.000
5.500,1.3066,0.000,0.000
5.520,1.3066,0.000,0.000
5.540,1.3066,0.000,0.000
5.560,1.3066,0.000,0.000
5.580,1.3066,0.000,0.000
5.600,1.3066,0.000,0.000
5.620,1.3066,0.000,0.000
5.640,1.3066,0.000,0.000
5.660,1.3066,0.000,0.000
5.680,1.3066,0.000,0.000
5.700,1.3066,0.000,0.000
5.720,1.3066,0.000,0.000
5.740,1.3066,0.000,0.000
