"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1"
0.000,3.6379E-4,
0.020,2.4252E-4,-0.003
0.040,2.4252E-4,-0.001
0.060,2.4252E-4,0.000
0.080,2.4252E-4,0.000
0.100,2.4252E-4,0.000
0.120,2.4252E-4,-0.001
0.140,2.4252E-4,-0.002
0.160,1.2126E-4,-0.002
0.180,1.2126E-4,-0.001
0.200,1.2126E-4,0.000
0.220,1.2126E-4,0.000
0.240,1.2126E-4,0.001
0.260,1.2126E-4,0.002
0.280,2.4252E-4,0.002
0.300,2.4252E-4,0.001
0.320,2.4252E-4,0.000
0.340,2.4252E-4,0.000
0.360,2.4252E-4,0.000
0.380,2.4252E-4,0.000
0.400,2.4252E-4,0.000
0.420,2.4252E-4,-0.001
0.440,2.4252E-4,-0.002
0.460,1.2126E-4,-0.002
0.480,1.2126E-4,-0.001
0.500,1.2126E-4,-0.001
0.520,1.2126E-4,-0.002
0.540,0.0000,-0.003
0.560,0.0000,-0.003
0.580,-1.2126E-4,-0.002
0.600,-1.2126E-4,-0.002
0.620,-1.2126E-4,-0.002
0.640,-2.4252E-4,-0.002
0.660,-2.4252E-4,0.000
0.680,-2.4252E-4,0.003
0.700,-1.2126E-4,0.006
0.720,0.0000,0.008
0.740,2.4252E-4,0.009
0.760,3.6379E-4,0.010
0.780,6.0631E-4,0.010
0.800,8.4884E-4,0.008
0.820,9.7010E-4,0.004
0.840,9.7010E-4,0.001
0.860,9.7010E-4,-0.001
0.880,9.7010E-4,-0.003
0.900,8.4884E-4,-0.005
0.920,7.2757E-4,-0.005
0.940,6.0631E-4,-0.004
0.960,6.0631E-4,-0.003
0.980,4.8505E-4,-0.002
1.000,4.8505E-4,-0.001
1.020,4.8505E-4,0.000
1.040,4.8505E-4,0.000
1.060,4.8505E-4,0.000
1.080,4.8505E-4,-0.001
1.100,4.8505E-4,-0.002
1.120,3.6379E-4,-0.002
1.140,3.6379E-4,-0.001
1.160,3.6379E-4,0.000
1.180,3.6379E-4,-0.001
1.200,3.6379E-4,-0.003
1.220,2.4252E-4,-0.004
1.240,1.2126E-4,-0.004
1.260,1.2126E-4,-0.003
1.280,0.0000,-0.002
1.300,0.0000,0.001
1.320,0.0000,0.006
1.340,2.4252E-4,0.011
1.360,4.8505E-4,0.016
1.380,8.4884E-4,0.021
1.400,0.0013,0.027
1.420,0.0019,0.032
1.440,0.0027,0.037
1.460,0.0034,0.042
1.480,0.0044,0.047
1.500,0.0053,0.053
1.520,0.0064,0.059
1.540,0.0076,0.065
1.560,0.0091,0.070
1.580,0.0104,0.074
1.600,0.0120,0.079
1.620,0.0136,0.086
1.640,0.0154,0.092
1.660,0.0173,0.096
1.680,0.0193,0.099
1.700,0.0212,0.104
1.720,0.0234,0.111
1.740,0.0257,0.117
1.760,0.0281,0.122
1.780,0.0306,0.127
1.800,0.0332,0.132
1.820,0.0359,0.137
1.840,0.0387,0.142
1.860,0.0416,0.149
1.880,0.0446,0.155
1.900,0.0478,0.160
1.920,0.0511,0.164
1.940,0.0543,0.169
1.960,0.0577,0.175
1.980,0.0614,0.181
2.000,0.0650,0.185
2.020,0.0688,0.189
2.040,0.0725,0.194
2.060,0.0765,0.200
2.080,0.0805,0.207
2.100,0.0848,0.214
2.120,0.0891,0.220
2.140,0.0936,0.225
2.160,0.0981,0.230
2.180,0.1028,0.235
2.200,0.1076,0.241
2.220,0.1124,0.246
2.240,0.1174,0.252
2.260,0.1225,0.257
2.280,0.1277,0.262
2.300,0.1329,0.267
2.320,0.1384,0.272
2.340,0.1438,0.277
2.360,0.1494,0.281
2.380,0.1551,0.286
2.400,0.1608,0.291
2.420,0.1667,0.296
2.440,0.1727,0.301
2.460,0.1787,0.306
2.480,0.1849,0.312
2.500,0.1912,0.318
2.520,0.1977,0.323
2.540,0.2042,0.328
2.560,0.2108,0.333
2.580,0.2175,0.339
2.600,0.2243,0.343
2.620,0.2312,0.347
2.640,0.2382,0.352
2.660,0.2453,0.357
2.680,0.2525,0.362
2.700,0.2597,0.366
2.720,0.2671,0.371
2.740,0.2745,0.376
2.760,0.2822,0.381
2.780,0.2898,0.386
2.800,0.2976,0.391
2.820,0.3055,0.396
2.840,0.3135,0.401
2.860,0.3215,0.405
2.880,0.3297,0.406
2.900,0.3378,0.406
2.920,0.3458,0.407
2.940,0.3541,0.410
2.960,0.3623,0.413
2.980,0.3706,0.416
3.000,0.3789,0.420
3.020,0.3874,0.424
3.040,0.3959,0.427
3.060,0.4045,0.430
3.080,0.4131,0.434
3.100,0.4219,0.436
3.120,0.4306,0.439
3.140,0.4393,0.443
3.160,0.4483,0.447
3.180,0.4573,0.452
3.200,0.4663,0.458
3.220,0.4756,0.467
3.240,0.4849,0.478
3.260,0.4946,0.491
3.280,0.5046,0.505
3.300,0.5149,0.519
3.320,0.5253,0.536
3.340,0.5362,0.554
3.360,0.5475,0.574
3.380,0.5591,0.595
3.400,0.5713,0.618
3.420,0.5839,0.643
3.440,0.5970,0.667
3.460,0.6106,0.691
3.480,0.6246,0.715
3.500,0.6392,0.739
3.520,0.6542,0.762
3.540,0.6696,0.785
3.560,0.6856,0.808
3.580,0.7020,0.831
3.600,0.7188,0.849
3.620,0.7361,0.863
3.640,0.7534,0.873
3.660,0.7710,0.881
