"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1"
3.680,0.7887,0.887
3.700,0.8065,0.889
3.720,0.8243,0.888
3.740,0.8420,0.885
3.760,0.8597,0.882
3.780,0.8773,0.881
3.800,0.8949,0.881
3.820,0.9126,0.881
3.840,0.9302,0.879
3.860,0.9478,0.876
3.880,0.9652,0.874
3.900,0.9827,0.874
3.920,1.0002,0.875
3.940,1.0178,0.875
3.960,1.0352,0.873
3.980,1.0527,0.871
4.000,1.0700,0.871
4.020,1.0875,0.873
4.040,1.1049,0.875
4.060,1.1225,0.874
4.080,1.1400,0.871
4.100,1.1573,0.870
4.120,1.1747,0.872
4.140,1.1923,0.874
4.160,1.2097,0.874
4.180,1.2272,0.873
4.200,1.2446,0.754
4.220,1.2621,0.430
4.240,1.2653,0.039
4.260,1.2582,-0.213
4.280,1.2532,-0.258
4.300,1.2485,-0.230
4.320,1.2440,-0.220
4.340,1.2398,-0.214
4.360,1.2355,-0.211
4.380,1.2313,-0.209
4.400,1.2272,-0.207
4.420,1.2231,-0.205
4.440,1.2189,-0.203
4.460,1.2149,-0.200
4.480,1.2109,-0.198
4.500,1.2070,-0.198
4.520,1.2030,-0.198
4.540,1.1990,-0.197
4.560,1.1952,-0.195
4.580,1.1913,-0.195
4.600,1.1874,-0.196
4.620,1.1834,-0.196
4.640,1.1795,-0.196
4.660,1.1756,-0.195
4.680,1.1716,-0.195
4.700,1.1679,-0.195
4.720,1.1639,-0.194
4.740,1.1600,-0.193
4.760,1.1562,-0.192
4.780,1.1524,-0.193
4.800,1.1485,-0.193
4.820,1.1446,-0.192
4.840,1.1408,-0.192
4.860,1.1370,-0.192
4.880,1.1331,-0.192
4.900,1.1293,-0.191
4.920,1.1254,-0.190
4.940,1.1217,-0.190
4.960,1.1179,-0.190
4.980,1.1140,-0.190
5.000,1.1103,-0.189
5.020,1.1065,-0.188
5.040,1.1028,-0.189
5.060,1.0990,-0.190
5.080,1.0951,-0.190
5.100,1.0914,-0.188
5.120,1.0876,-0.186
5.140,1.0840,-0.186
5.160,1.0802,-0.186
5.180,1.0764,-0.185
5.200,1.0728,-0.183
5.220,1.0692,-0.183
5.240,1.0655,-0.184
5.260,1.0618,-0.184
5.280,1.0581,-0.183
5.300,1.0545,-0.182
5.320,1.0509,-0.182
5.340,1.0472,-0.182
5.360,1.0436,-0.182
5.380,1.0399,-0.182
5.400,1.0363,-0.181
5.420,1.0327,-0.180
5.440,1.0292,-0.180
5.460,1.0255,-0.180
5.480,1.0219,-0.180
5.500,1.0184,-0.179
5.520,1.0147,-0.179
5.540,1.0112,-0.179
5.560,1.0076,-0.179
5.580,1.0041,-0.179
5.600,1.0004,-0.179
5.620,0.9969,-0.179
5.640,0.9933,-0.179
5.660,0.9897,
