"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1"
0.000,-0.0034,,
0.020,-0.0035,-0.006,
0.040,-0.0036,-0.005,0.076
0.060,-0.0038,-0.003,0.093
0.080,-0.0038,-0.001,0.109
0.100,-0.0038,0.001,0.126
0.120,-0.0038,0.004,0.135
0.140,-0.0036,0.007,0.101
0.160,-0.0034,0.009,0.017
0.180,-0.0033,0.008,-0.084
0.200,-0.0030,0.005,-0.160
0.220,-0.0030,0.001,-0.177
0.240,-0.0030,-0.003,-0.135
0.260,-0.0032,-0.005,-0.059
0.280,-0.0033,-0.005,-0.008
0.300,-0.0034,-0.004,-0.017
0.320,-0.0034,-0.005,-0.042
0.340,-0.0035,-0.007,-0.025
0.360,-0.0038,-0.007,0.025
0.380,-0.0039,-0.005,0.042
0.400,-0.0039,-0.004,0.008
0.420,-0.0040,-0.005,-0.025
0.440,-0.0041,-0.006,-0.034
0.460,-0.0042,-0.006,-0.034
0.480,-0.0044,-0.007,-0.034
0.500,-0.0045,-0.008,-0.008
0.520,-0.0047,-0.008,0.042
0.540,-0.0049,-0.006,0.067
0.560,-0.0050,-0.004,0.042
0.580,-0.0050,-0.004,-0.008
0.600,-0.0051,-0.005,-0.042
0.620,-0.0052,-0.006,-0.042
0.640,-0.0053,-0.007,3.253E-16
0.660,-0.0055,-0.007,0.101
0.680,-0.0057,-0.004,0.261
0.700,-0.0057,0.003,0.429
0.720,-0.0056,0.014,0.556
0.740,-0.0052,0.026,0.615
0.760,-0.0045,0.039,0.615
0.780,-0.0036,0.052,0.598
0.800,-0.0024,0.063,0.589
0.820,-0.0011,0.075,0.598
0.840,4.8505E-4,0.087,0.606
0.860,0.0024,0.099,0.606
0.880,0.0045,0.111,0.606
0.900,0.0068,0.123,0.598
0.920,0.0095,0.135,0.589
0.940,0.0122,0.147,0.598
0.960,0.0153,0.159,0.615
0.980,0.0186,0.172,0.615
1.000,0.0222,0.184,0.589
1.020,0.0260,0.195,0.564
1.040,0.0300,0.206,0.556
1.060,0.0342,0.217,0.556
1.080,0.0387,0.228,0.564
1.100,0.0433,0.239,0.581
1.120,0.0483,0.252,0.589
1.140,0.0534,0.264,0.581
1.160,0.0588,0.275,0.564
1.180,0.0644,0.286,0.564
1.200,0.0702,0.297,0.573
1.220,0.0763,0.309,0.573
1.240,0.0826,0.320,0.573
1.260,0.0891,0.331,0.598
1.280,0.0958,0.344,0.648
1.300,0.1028,0.358,0.665
1.320,0.1101,0.372,0.623
1.340,0.1177,0.383,0.556
1.360,0.1255,0.393,0.522
1.380,0.1334,0.403,0.522
1.400,0.1416,0.414,0.522
1.420,0.1500,0.424,0.522
1.440,0.1586,0.435,0.539
1.460,0.1673,0.446,0.573
1.480,0.1764,0.458,0.589
1.500,0.1857,0.470,0.589
1.520,0.1952,0.481,0.598
1.540,0.2049,0.493,0.615
1.560,0.2149,0.506,0.598
1.580,0.2252,0.518,0.539
1.600,0.2357,0.527,0.488
1.620,0.2463,0.537,0.488
1.640,0.2571,0.547,0.522
1.660,0.2682,0.558,0.547
1.680,0.2794,0.569,0.564
1.700,0.2909,0.580,0.564
1.720,0.3027,0.592,0.547
1.740,0.3146,0.602,0.531
1.760,0.3268,0.612,0.531
1.780,0.3390,0.623,0.539
1.800,0.3517,0.635,0.522
1.820,0.3645,0.645,0.505
1.840,0.3775,0.654,0.531
1.860,0.3906,0.665,0.581
1.880,0.4040,0.678,0.598
1.900,0.4177,0.690,0.556
1.920,0.4317,0.700,0.497
1.940,0.4458,0.709,0.463
1.960,0.4601,0.718,0.463
1.980,0.4745,0.728,0.497
2.000,0.4892,0.738,0.547
2.020,0.5040,0.750,0.573
2.040,0.5191,0.762,0.539
2.060,0.5345,0.772,0.472
2.080,0.5500,0.780,0.438
2.100,0.5657,0.788,0.463
2.120,0.5816,0.798,0.514
2.140,0.5976,0.809,0.539
2.160,0.6140,0.821,0.514
2.180,0.6304,0.831,0.472
2.200,0.6472,0.839,0.455
2.220,0.6640,0.848,0.480
2.240,0.6810,0.858,0.522
2.260,0.6983,0.869,0.531
2.280,0.7158,0.880,0.497
2.300,0.7335,0.889,0.446
2.320,0.7515,0.897,0.421
2.340,0.7694,0.905,0.446
2.360,0.7876,0.915,0.488
2.380,0.8060,0.926,0.497
2.400,0.8246,0.936,0.455
2.420,0.8435,0.944,0.404
2.440,0.8624,0.951,0.413
2.460,0.8815,0.959,0.463
2.480,0.9007,0.970,0.480
2.500,0.9203,0.980,0.421
2.520,0.9400,0.987,0.345
2.540,0.9598,0.992,0.337
2.560,0.9797,0.999,0.379
2.580,0.9997,1.008,0.404
2.600,1.0201,1.017,0.387
2.620,1.0404,1.024,0.371
2.640,1.0609,1.031,0.387
2.660,1.0817,1.039,0.413
2.680,1.1025,1.048,0.413
2.700,1.1235,1.056,0.387
2.720,1.1448,1.063,0.387
2.740,1.1661,1.070,0.446
2.760,1.1875,1.080,0.505
2.780,1.2092,1.092,-0.320
2.800,1.2313,1.101,-4.210
2.820,1.2534,1.011,-11.520
2.840,1.2756,0.657,-18.206
2.860,1.2862,0.155,-18.594
2.880,1.2773,-0.227,-12.000
2.900,1.2702,-0.337,-4.076
2.920,1.2643,-0.292,0.303
2.940,1.2588,-0.270,1.036
2.960,1.2536,-0.258,0.674
2.980,1.2485,-0.247,0.573
3.000,1.2437,-0.234,0.522
3.020,1.2392,-0.224,0.455
3.040,1.2348,-0.217,0.429
3.060,1.2304,-0.209,0.472
3.080,1.2263,-0.198,0.505
3.100,1.2226,-0.187,0.472
3.120,1.2189,-0.179,0.413
3.140,1.2154,-0.172,0.396
3.160,1.2120,-0.164,0.421
3.180,1.2089,-0.155,0.438
3.200,1.2058,-0.146,0.429
3.220,1.2030,-0.137,0.413
3.240,1.2004,-0.129,0.413
3.260,1.1978,-0.121,0.429
3.280,1.1955,-0.112,0.438
3.300,1.1933,-0.103,0.429
3.320,1.1914,-0.095,0.413
3.340,1.1896,-0.087,
3.360,1.1879,-0.079,
3.380,1.1864,,
