"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1"
3.480,1.2417,-0.064,-0.648
3.500,1.2404,-0.077,-0.665
3.520,1.2387,-0.090,-0.691
3.540,1.2368,-0.104,-0.741
3.560,1.2346,-0.119,-0.808
3.580,1.2320,-0.136,-0.867
3.600,1.2291,-0.155,-0.901
3.620,1.2258,-0.173,-0.909
3.640,1.2222,-0.191,-0.909
3.660,1.2182,-0.209,-0.918
3.680,1.2138,-0.227,-0.935
3.700,1.2091,-0.247,-0.943
3.720,1.2040,-0.266,-0.935
3.740,1.1984,-0.284,-0.926
3.760,1.1926,-0.302,-0.935
3.780,1.1864,-0.321,-0.943
3.800,1.1798,-0.341,-0.935
3.820,1.1727,-0.359,-0.926
3.840,1.1655,-0.377,-0.943
3.860,1.1577,-0.396,-0.968
3.880,1.1496,-0.416,-0.977
3.900,1.1411,-0.436,-0.968
3.920,1.1321,-0.455,-0.960
3.940,1.1229,-0.474,-0.960
3.960,1.1132,-0.493,-0.952
3.980,1.1031,-0.512,-0.943
4.000,1.0927,-0.531,-0.943
4.020,1.0819,-0.550,-0.943
4.040,1.0707,-0.569,-0.935
4.060,1.0591,-0.587,-0.926
4.080,1.0472,-0.605,-0.943
4.100,1.0350,-0.625,-0.968
4.120,1.0222,-0.645,-0.977
4.140,1.0091,-0.664,-0.968
4.160,0.9957,-0.683,-0.952
4.180,0.9819,-0.702,-0.926
4.200,0.9676,-0.720,-0.876
4.220,0.9530,-0.738,-0.834
4.240,0.9381,-0.753,-0.834
4.260,0.9228,-0.770,-0.876
4.280,0.9074,-0.788,-0.926
4.300,0.8913,-0.807,-0.952
4.320,0.8750,-0.827,-0.994
4.340,0.8583,-0.846,-1.053
4.360,0.8412,-0.869,-1.078
4.380,0.8236,-0.891,-1.019
4.400,0.8054,-0.910,-0.893
4.420,0.7871,-0.927,-0.775
4.440,0.7684,-0.941,-0.657
4.460,0.7494,-0.954,-0.488
4.480,0.7302,-0.962,-0.253
4.500,0.7108,-0.964,1.582E-13
4.520,0.6916,-0.961,0.168
4.540,0.6724,-0.955,0.202
