"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1"
0.000,7.2757E-4,,
0.020,0.0013,0.030,
0.040,0.0019,0.027,-0.126
0.060,0.0024,0.025,-0.109
0.080,0.0029,0.023,-0.101
0.100,0.0034,0.021,-0.093
0.120,0.0038,0.019,-0.084
0.140,0.0041,0.018,-0.093
0.160,0.0045,0.016,-0.126
0.180,0.0049,0.013,-0.160
0.200,0.0050,0.009,-0.168
0.220,0.0052,0.006,-0.168
0.240,0.0052,0.003,-0.168
0.260,0.0053,-0.001,-0.168
0.280,0.0052,-0.004,-0.152
0.300,0.0051,-0.007,-0.118
0.320,0.0050,-0.009,-0.076
0.340,0.0047,-0.010,-0.025
0.360,0.0045,-0.010,0.017
0.380,0.0044,-0.009,0.042
0.400,0.0041,-0.008,0.059
0.420,0.0040,-0.007,0.076
0.440,0.0039,-0.005,0.101
0.460,0.0038,-0.003,0.118
0.480,0.0038,0.000,0.109
0.500,0.0038,0.002,0.076
0.520,0.0039,0.003,0.025
0.540,0.0039,0.003,-0.017
0.560,0.0040,0.002,-0.051
0.580,0.0040,0.001,-0.076
0.600,0.0040,-0.001,-0.093
0.620,0.0040,-0.003,-0.093
0.640,0.0039,-0.005,-0.051
0.660,0.0038,-0.006,0.025
0.680,0.0036,-0.004,0.109
0.700,0.0035,-0.001,0.160
0.720,0.0036,0.003,0.152
0.740,0.0036,0.006,0.101
0.760,0.0039,0.007,0.025
0.780,0.0040,0.007,-0.042
0.800,0.0041,0.005,-0.093
0.820,0.0042,0.003,-0.118
0.840,0.0042,0.000,-0.101
0.860,0.0042,-0.002,-0.034
0.880,0.0041,-0.002,0.084
0.900,0.0041,0.001,0.227
0.920,0.0041,0.007,0.396
0.940,0.0044,0.016,0.589
0.960,0.0047,0.030,0.775
0.980,0.0055,0.049,0.901
1.000,0.0067,0.068,0.952
1.020,0.0082,0.087,0.968
1.040,0.0101,0.106,0.985
1.060,0.0125,0.126,0.994
1.080,0.0152,0.147,0.985
1.100,0.0183,0.166,0.968
1.120,0.0218,0.185,0.960
1.140,0.0257,0.204,0.960
1.160,0.0300,0.223,0.960
1.180,0.0347,0.243,0.968
1.200,0.0397,0.262,0.994
1.220,0.0451,0.282,1.011
1.240,0.0509,0.303,0.994
1.260,0.0572,0.322,0.952
1.280,0.0639,0.341,0.926
1.300,0.0708,0.359,0.935
1.320,0.0782,0.378,0.952
1.340,0.0860,0.397,0.960
1.360,0.0941,0.416,0.960
1.380,0.1026,0.436,0.960
1.400,0.1116,0.455,0.960
1.420,0.1208,0.474,0.960
1.440,0.1305,0.493,0.960
1.460,0.1405,0.512,0.960
1.480,0.1510,0.532,0.960
1.500,0.1618,0.551,0.960
1.520,0.1730,0.570,0.952
1.540,0.1846,0.589,0.935
1.560,0.1966,0.607,0.918
1.580,0.2089,0.626,0.926
1.600,0.2215,0.644,0.960
1.620,0.2346,0.664,0.985
1.640,0.2481,0.684,0.977
1.660,0.2620,0.703,0.935
1.680,0.2762,0.722,0.893
1.700,0.2909,0.739,0.876
1.720,0.3058,0.756,0.901
1.740,0.3211,0.774,0.960
1.760,0.3367,0.794,1.011
1.780,0.3529,0.815,1.002
1.800,0.3694,0.836,0.926
1.820,0.3863,0.853,0.851
1.840,0.4036,0.868,0.851
1.860,0.4210,0.885,0.918
1.880,0.4388,0.905,0.960
1.900,0.4573,0.926,0.909
1.920,0.4760,0.943,0.800
1.940,0.4950,0.957,0.682
1.960,0.5143,0.970,0.556
1.980,0.5338,0.980,0.396
2.000,0.5536,0.986,0.219
2.020,0.5733,0.988,0.076
2.040,0.5931,0.988,-0.025
2.060,0.6129,0.987,-0.109
2.080,0.6326,0.984,-0.185
2.100,0.6523,0.979,-0.227
2.120,0.6718,0.974,-0.211
2.140,0.6912,0.970,-0.160
2.160,0.7106,0.968,-0.135
2.180,0.7299,0.966,-0.185
2.200,0.7493,0.962,-0.328
2.220,0.7684,0.954,-0.522
2.240,0.7875,0.941,-0.699
2.260,0.8062,0.925,-0.817
2.280,0.8245,0.907,-0.893
2.300,0.8424,0.889,-0.968
2.320,0.8601,0.869,-1.053
2.340,0.8772,0.847,-1.103
2.360,0.8939,0.824,-1.095
2.380,0.9102,0.802,-1.044
2.400,0.9260,0.782,-1.002
2.420,0.9415,0.763,-1.002
2.440,0.9565,0.743,-1.019
2.460,0.9712,0.722,-1.027
2.480,0.9854,0.701,-1.019
2.500,0.9992,0.681,-1.002
2.520,1.0127,0.661,-0.968
2.540,1.0256,0.642,-0.926
2.560,1.0382,0.625,-0.918
2.580,1.0506,0.606,-0.960
2.600,1.0626,0.586,-1.002
2.620,1.0740,0.565,-1.002
2.640,1.0852,0.546,-0.985
2.660,1.0958,0.526,-0.977
2.680,1.1063,0.506,-0.968
2.700,1.1161,0.487,-0.935
2.720,1.1257,0.469,-0.901
2.740,1.1349,0.452,-0.901
2.760,1.1437,0.434,-0.926
2.780,1.1522,0.414,-0.952
2.800,1.1604,0.395,-0.960
2.820,1.1680,0.376,-0.968
2.840,1.1754,0.357,-0.994
2.860,1.1823,0.337,-1.011
2.880,1.1889,0.315,-0.994
2.900,1.1949,0.296,-0.952
2.920,1.2006,0.278,-0.926
2.940,1.2061,0.260,-0.943
2.960,1.2110,0.241,-0.968
2.980,1.2157,0.220,-0.977
3.000,1.2199,0.201,-0.960
3.020,1.2237,0.182,-0.935
3.040,1.2272,0.164,-0.918
3.060,1.2302,0.146,-0.909
3.080,1.2330,0.127,-0.909
3.100,1.2353,0.109,-0.901
3.120,1.2374,0.091,-0.884
3.140,1.2389,0.074,-0.867
3.160,1.2403,0.057,-0.867
3.180,1.2412,0.039,-0.876
3.200,1.2418,0.021,-0.876
3.220,1.2421,0.004,-0.867
3.240,1.2420,-0.013,-0.859
3.260,1.2416,-0.030,-0.859
3.280,1.2408,-0.047,-0.867
3.300,1.2397,-0.065,-0.884
3.320,1.2382,-0.083,-0.893
3.340,1.2364,-0.101,-0.884
3.360,1.2341,-0.118,-0.867
3.380,1.2317,-0.135,-0.859
3.400,1.2288,-0.153,-0.851
3.420,1.2255,-0.170,-0.842
3.440,1.2220,-0.186,-0.851
3.460,1.2181,-0.203,-0.876
3.480,1.2138,-0.221,-0.901
3.500,1.2092,-0.239,-0.918
3.520,1.2043,-0.258,-0.935
3.540,1.1989,-0.277,-0.952
3.560,1.1932,-0.296,-0.960
3.580,1.1870,-0.315,-0.960
3.600,1.1806,-0.334,-0.960
3.620,1.1737,-0.354,-0.952
3.640,1.1664,-0.373,-0.935
3.660,1.1588,-0.391,-0.918
3.680,1.1508,-0.409,-0.909
3.700,1.1424,-0.427,-0.901
3.720,1.1337,-0.446,-0.884
3.740,1.1246,-0.463,-0.884
3.760,1.1151,-0.480,-0.918
3.780,1.1054,-0.499,-0.960
3.800,1.0952,-0.519,-0.968
3.820,1.0846,-0.539,-0.952
3.840,1.0737,-0.557,-0.943
3.860,1.0624,-0.576,-0.943
3.880,1.0506,-0.595,-0.918
3.900,1.0385,-0.613,-0.876
3.920,1.0261,-0.630,-0.867
3.940,1.0133,-0.647,-0.909
3.960,1.0003,-0.666,-0.935
3.980,0.9867,-0.686,-0.859
4.000,0.9728,-0.702,-0.716
4.020,0.9585,-0.713,-0.632
4.040,0.9443,-0.725,-0.682
4.060,0.9296,-0.740,-0.800
4.080,0.9147,-0.758,-0.893
4.100,0.8993,-0.776,-0.926
4.120,0.8836,-0.795,-0.918
4.140,0.8675,-0.813,-0.867
4.160,0.8510,-0.831,-0.792
4.180,0.8343,-0.845,-0.733
4.200,0.8172,-0.859,-0.682
4.220,0.8000,-0.873,-0.581
4.240,0.7823,-0.884,-0.362
4.260,0.7644,-0.889,-0.067
4.280,0.7466,-0.886,0.219
4.300,0.7289,-0.879,0.421
4.320,0.7114,-0.868,0.505
4.340,0.6941,-0.857,0.463
4.360,0.6772,-0.848,0.328
4.380,0.6603,-0.844,0.202
4.400,0.6435,-0.842,0.143
4.420,0.6266,-0.839,0.160
4.440,0.6099,-0.836,0.202
4.460,0.5932,-0.831,0.295
4.480,0.5766,-0.826,0.472
4.500,0.5602,-0.813,0.707
4.520,0.5439,-0.796,0.943
4.540,0.5283,-0.775,1.095
4.560,0.5129,-0.751,1.179
4.580,0.4981,-0.728,1.204
4.600,0.4840,-0.702,1.213
4.620,0.4700,-0.679,1.238
4.640,0.4568,-0.654,1.255
4.660,0.4438,-0.628,1.255
4.680,0.4317,-0.603,1.213
4.700,0.4198,-0.579,1.162
4.720,0.4084,-0.557,1.137
4.740,0.3976,-0.535,1.171
4.760,0.3871,-0.511,1.263
4.780,0.3770,-0.484,1.322
4.800,0.3677,-0.456,1.280
4.820,0.3589,-0.431,1.171
4.840,0.3504,-0.410,1.103
4.860,0.3424,-0.389,1.103
4.880,0.3349,-0.366,1.112
4.900,0.3278,-0.344,1.095
4.920,0.3212,-0.322,1.078
4.940,0.3149,-0.301,1.103
4.960,0.3091,-0.279,1.145
4.980,0.3038,-0.255,1.154
5.000,0.2989,-0.231,1.112
5.020,0.2945,-0.210,1.061
5.040,0.2905,-0.190,1.061
5.060,0.2869,-0.169,1.112
5.080,0.2838,-0.146,1.171
5.100,0.2811,-0.121,1.196
5.120,0.2789,-0.097,1.179
5.140,0.2772,-0.074,1.145
5.160,0.2760,-0.052,1.120
5.180,0.2751,-0.029,1.095
5.200,0.2748,-0.007,1.044
5.220,0.2749,0.013,0.960
5.240,0.2754,0.031,0.867
5.260,0.2761,0.047,0.800
5.280,0.2773,0.063,0.775
5.300,0.2787,0.078,0.792
5.320,0.2804,0.094,0.817
5.340,0.2824,0.111,0.825
5.360,0.2848,0.127,0.825
5.380,0.2875,0.143,0.834
5.400,0.2905,0.161,0.842
5.420,0.2939,0.178,0.825
5.440,0.2977,0.194,0.800
5.460,0.3017,0.209,0.792
5.480,0.3061,0.225,0.792
5.500,0.3107,0.242,0.783
5.520,0.3158,0.257,0.766
5.540,0.3210,0.272,0.749
5.560,0.3266,0.287,0.707
5.580,0.3325,0.301,0.657
5.600,0.3387,0.312,0.691
5.620,0.3450,0.325,0.851
5.640,0.3515,0.346,1.036
5.660,0.3587,0.370,1.095
5.680,0.3665,0.392,1.011
5.700,0.3745,0.410,0.893
5.720,0.3828,0.426,0.825
5.740,0.3916,0.443,0.808
5.760,0.4005,0.459,0.817
5.780,0.4099,0.475,0.842
5.800,0.4196,0.492,0.884
5.820,0.4295,0.510,0.926
5.840,0.4399,0.530,0.943
5.860,0.4507,0.549,0.918
5.880,0.4619,0.567,0.851
5.900,0.4734,0.583,0.766
5.920,0.4853,0.597,0.699
5.940,0.4973,0.610,0.665
5.960,0.5097,0.623,0.640
5.980,0.5223,0.637,0.573
6.000,0.5351,0.648,0.438
6.020,0.5482,0.655,0.269
6.040,0.5614,0.658,0.135
6.060,0.5745,0.659,0.084
6.080,0.5878,0.660,0.084
6.100,0.6010,0.663,0.067
6.120,0.6142,0.664,-1.582E-13
6.140,0.6277,0.663,-0.084
6.160,0.6407,0.660,-0.126
6.180,0.6540,0.657,-0.135
6.200,0.6671,0.655,-0.135
6.220,0.6802,0.652,-0.135
6.240,0.6931,0.649,-0.126
6.260,0.7061,0.647,-0.109
6.280,0.7190,0.645,-0.109
6.300,0.7319,0.643,-0.143
6.320,0.7447,0.640,-0.211
6.340,0.7575,0.635,-0.312
6.360,0.7701,0.628,-0.429
6.380,0.7826,0.617,-0.547
6.400,0.7949,0.605,-0.640
6.420,0.8069,0.591,-0.691
6.440,0.8185,0.577,-0.716
6.460,0.8299,0.563,-0.758
6.480,0.8411,0.548,-0.842
6.500,0.8519,0.530,-0.935
6.520,0.8623,0.509,-0.994
6.540,0.8722,0.489,-1.019
6.560,0.8818,0.469,-1.036
6.580,0.8910,0.448,-1.036
6.600,0.8998,0.426,-1.002
6.620,0.9080,0.407,-0.960
6.640,0.9160,0.389,-0.952
6.660,0.9237,0.370,-0.960
6.680,0.9308,0.350,-0.943
6.700,0.9376,0.331,-0.909
6.720,0.9440,0.314,-0.909
6.740,0.9502,0.296,-0.968
6.760,0.9559,0.276,-1.044
6.780,0.9612,0.254,-1.095
6.800,0.9661,0.231,-1.095
6.820,0.9705,0.209,-1.044
6.840,0.9745,0.189,-0.977
6.860,0.9780,0.171,-0.935
6.880,0.9813,0.153,-0.935
6.900,0.9842,0.133,-0.943
6.920,0.9866,0.114,-0.943
6.940,0.9887,0.096,-0.952
6.960,0.9905,0.077,-0.977
6.980,0.9918,0.057,-0.994
7.000,0.9927,0.036,-0.985
7.020,0.9933,0.017,-0.968
7.040,0.9934,-0.002,-0.952
7.060,0.9931,-0.021,-0.935
7.080,0.9925,-0.039,-0.926
7.100,0.9916,-0.058,-0.943
7.120,0.9902,-0.077,-0.977
7.140,0.9885,-0.097,-0.985
7.160,0.9863,-0.117,-0.952
7.180,0.9838,-0.135,-0.901
7.200,0.9809,-0.153,-0.851
7.220,0.9777,-0.170,-0.792
7.240,0.9741,-0.185,-0.741
7.260,0.9702,-0.198,-0.749
7.280,0.9662,-0.213,-0.825
7.300,0.9619,-0.231,-0.901
7.320,0.9569,-0.251,-0.918
7.340,0.9518,-0.269,-0.901
7.360,0.9462,-0.286,-0.893
7.380,0.9403,-0.304,-0.909
7.400,0.9341,-0.322,-0.935
7.420,0.9274,-0.342,-0.935
7.440,0.9204,-0.361,-0.909
7.460,0.9130,-0.378,-0.893
7.480,0.9052,-0.395,-0.918
7.500,0.8972,-0.414,-0.968
7.520,0.8887,-0.435,-0.977
7.540,0.8798,-0.455,-0.918
7.560,0.8705,-0.472,-0.834
7.580,0.8608,-0.487,-0.766
7.600,0.8510,-0.502,-0.733
7.620,0.8408,-0.516,-0.716
7.640,0.8303,-0.531,-0.707
7.660,0.8196,-0.545,-0.707
7.680,0.8086,-0.559,-0.691
7.700,0.7972,-0.573,-0.640
7.720,0.7857,-0.585,-0.547
7.740,0.7738,-0.595,-0.421
7.760,0.7618,-0.602,-0.295
7.780,0.7496,-0.606,-0.185
7.800,0.7375,-0.609,-0.093
7.820,0.7253,-0.610,-0.017
7.840,0.7130,-0.609,0.025
7.860,0.7009,-0.608,0.008
7.880,0.6888,-0.608,-0.042
7.900,0.6765,-0.610,-0.067
7.920,0.6644,-0.612,-0.042
7.940,0.6520,-0.612,0.025
7.960,0.6398,-0.611,0.093
7.980,0.6277,-0.608,0.135
8.000,0.6154,-0.605,0.152
8.020,0.6034,-0.602,0.135
8.040,0.5914,-0.599,0.109
8.060,0.5794,-0.598,0.109
8.080,0.5675,-0.596,0.168
8.100,0.5555,-0.592,0.295
8.120,0.5437,-0.585,0.438
8.140,0.5321,-0.574,0.547
8.160,0.5207,-0.562,0.598
8.180,0.5097,-0.550,0.606
8.200,0.4988,-0.538,0.623
8.220,0.4881,-0.525,0.674
8.240,0.4778,-0.511,0.758
8.260,0.4676,-0.495,0.859
8.280,0.4579,-0.477,0.935
8.300,0.4485,-0.457,0.968
8.320,0.4396,-0.438,0.968
8.340,0.4311,-0.418,0.960
8.360,0.4228,-0.399,0.952
8.380,0.4151,-0.380,0.926
8.400,0.4077,-0.362,0.901
8.420,0.4007,-0.345,0.893
8.440,0.3939,-0.326,0.901
8.460,0.3876,-0.308,0.909
8.480,0.3816,-0.290,0.926
8.500,0.3759,-0.272,0.960
8.520,0.3707,-0.252,0.985
8.540,0.3658,-0.231,0.985
8.560,0.3615,-0.212,0.968
8.580,0.3574,-0.193,0.960
8.600,0.3537,-0.174,0.960
8.620,0.3504,-0.155,0.960
8.640,0.3475,-0.135,0.968
8.660,0.3450,-0.116,0.985
8.680,0.3429,-0.096,0.994
8.700,0.3411,-0.076,0.977
8.720,0.3399,-0.057,0.935
8.740,0.3389,-0.038,0.909
8.760,0.3383,-0.021,0.926
8.780,0.3381,-0.002,0.968
8.800,0.3382,0.018,0.994
8.820,0.3388,0.038,0.977
8.840,0.3398,0.058,0.943
8.860,0.3411,0.076,0.926
8.880,0.3428,0.094,0.943
8.900,0.3449,0.113,0.968
8.920,0.3473,0.133,0.968
8.940,0.3502,0.153,0.943
8.960,0.3535,0.171,0.926
8.980,0.3570,0.189,0.935
9.000,0.3610,0.208,0.952
9.020,0.3654,0.227,0.960
9.040,0.3701,0.247,0.952
9.060,0.3752,0.266,0.926
9.080,0.3808,0.284,0.893
9.100,0.3866,0.301,0.876
9.120,0.3928,0.318,0.884
