"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1"
0.000,3.6379E-4,,
0.020,4.8505E-4,0.009,
0.040,7.2757E-4,0.011,0.051
0.060,9.7010E-4,0.011,-0.008
0.080,0.0012,0.010,-0.042
0.100,0.0013,0.009,-0.034
0.120,0.0016,0.008,0.008
0.140,0.0017,0.009,0.067
0.160,0.0018,0.011,0.109
0.180,0.0022,0.014,0.093
0.200,0.0024,0.016,0.008
0.220,0.0028,0.015,-0.109
0.240,0.0032,0.011,-0.185
0.260,0.0033,0.006,-0.185
0.280,0.0033,0.003,-0.152
0.300,0.0034,0.001,-0.152
0.320,0.0034,-0.002,-0.185
0.340,0.0033,-0.007,-0.211
0.360,0.0032,-0.011,-0.202
0.380,0.0028,-0.015,-0.152
0.400,0.0025,-0.018,-0.059
0.420,0.0021,-0.018,0.067
0.440,0.0017,-0.015,0.160
0.460,0.0015,-0.010,0.177
0.480,0.0013,-0.007,0.143
0.500,0.0012,-0.005,0.109
0.520,0.0011,-0.003,0.093
0.540,0.0011,-0.001,0.076
0.560,0.0011,0.000,0.076
0.580,0.0011,0.001,0.109
0.600,0.0011,0.004,0.160
0.620,0.0012,0.008,0.185
0.640,0.0015,0.012,0.160
0.660,0.0017,0.015,0.084
0.680,0.0021,0.016,-0.025
0.700,0.0024,0.014,-0.135
0.720,0.0027,0.010,-0.211
0.740,0.0028,0.005,-0.236
0.760,0.0029,1.084E-17,-0.227
0.780,0.0028,-0.004,-0.194
0.800,0.0027,-0.008,-0.143
0.820,0.0025,-0.010,-0.084
0.840,0.0022,-0.011,-0.034
0.860,0.0021,-0.011,-0.017
0.880,0.0018,-0.011,-0.017
0.900,0.0016,-0.012,-0.008
0.920,0.0013,-0.012,0.034
0.940,0.0011,-0.011,0.101
0.960,8.4884E-4,-0.008,0.160
0.980,7.2757E-4,-0.004,0.177
1.000,7.2757E-4,0.000,0.143
1.020,7.2757E-4,0.002,0.084
1.040,8.4884E-4,0.003,0.034
1.060,8.4884E-4,0.003,0.008
1.080,9.7010E-4,0.003,0.000
1.100,9.7010E-4,0.003,-4.337E-17
1.120,0.0011,0.003,0.000
1.140,0.0011,0.003,0.008
1.160,0.0012,0.003,0.025
1.180,0.0012,0.004,0.034
1.200,0.0013,0.005,0.008
1.220,0.0015,0.005,-0.051
1.240,0.0016,0.003,-0.109
1.260,0.0016,0.000,-0.126
1.280,0.0016,-0.003,-0.084
1.300,0.0015,-0.004,-0.008
1.320,0.0013,-0.003,0.059
1.340,0.0013,-0.001,0.101
1.360,0.0013,0.001,0.126
1.380,0.0013,0.004,0.126
1.400,0.0015,0.007,0.093
1.420,0.0017,0.008,0.042
1.440,0.0018,0.008,0.017
1.460,0.0019,0.008,0.017
1.480,0.0022,0.009,0.017
1.500,0.0023,0.009,0.008
1.520,0.0025,0.009,-0.017
1.540,0.0027,0.009,-0.059
1.560,0.0029,0.007,-0.109
1.580,0.0030,0.004,-0.126
1.600,0.0030,0.001,-0.093
1.620,0.0030,0.000,-0.042
1.640,0.0030,0.000,-0.017
1.660,0.0030,0.000,-0.034
1.680,0.0030,-0.001,-0.059
1.700,0.0030,-0.003,-0.051
1.720,0.0029,-0.004,8.674E-17
1.740,0.0028,-0.003,0.051
1.760,0.0028,-0.001,0.059
1.780,0.0028,0.000,0.025
1.800,0.0028,0.000,-0.017
1.820,0.0028,-0.001,-0.034
1.840,0.0028,-0.002,-0.008
1.860,0.0027,-0.002,0.059
1.880,0.0027,2.168E-17,0.126
1.900,0.0027,0.004,0.143
1.920,0.0028,0.007,0.093
1.940,0.0030,0.008,5.638E-16
1.960,0.0032,0.007,-0.093
1.980,0.0033,0.004,-0.168
2.000,0.0034,-2.168E-17,-0.211
2.020,0.0033,-0.005,-0.219
2.040,0.0032,-0.009,-0.211
2.060,0.0029,-0.013,-0.185
2.080,0.0027,-0.017,-0.135
2.100,0.0022,-0.019,-0.059
2.120,0.0018,-0.019,8.674E-17
2.140,0.0015,-0.018,0.017
2.160,0.0011,-0.018,0.017
2.180,7.2757E-4,-0.018,0.034
2.200,3.6379E-4,-0.017,0.067
2.220,7.5894E-19,-0.015,0.093
2.240,-2.4252E-4,-0.013,0.109
2.260,-4.8505E-4,-0.011,0.126
2.280,-7.2757E-4,-0.008,0.135
2.300,-8.4884E-4,-0.005,0.118
2.320,-8.4884E-4,-0.003,0.084
2.340,-9.7010E-4,-0.002,0.067
2.360,-9.7010E-4,-0.001,0.067
2.380,-9.7010E-4,0.001,0.059
2.400,-9.7010E-4,0.002,0.034
2.420,-8.4884E-4,0.002,0.017
2.440,-8.4884E-4,0.002,0.042
2.460,-8.4884E-4,0.003,0.101
2.480,-7.2757E-4,0.006,0.168
2.500,-6.0631E-4,0.010,0.227
2.520,-3.6379E-4,0.015,0.269
2.540,7.5894E-19,0.021,0.295
2.560,4.8505E-4,0.027,0.312
2.580,0.0011,0.033,0.337
2.600,0.0018,0.040,0.362
2.620,0.0027,0.049,0.362
2.640,0.0038,0.056,0.337
2.660,0.0050,0.062,0.320
2.680,0.0062,0.068,0.328
2.700,0.0076,0.075,0.320
2.720,0.0092,0.082,0.269
2.740,0.0109,0.086,0.202
2.760,0.0127,0.089,0.168
2.780,0.0144,0.092,0.177
2.800,0.0164,0.096,0.185
2.820,0.0183,0.100,0.168
2.840,0.0204,0.103,0.135
2.860,0.0224,0.105,0.118
2.880,0.0246,0.107,0.135
2.900,0.0267,0.110,0.168
2.920,0.0290,0.114,0.177
2.940,0.0313,0.118,0.160
2.960,0.0337,0.120,0.152
2.980,0.0361,0.123,0.168
3.000,0.0386,0.127,0.185
3.020,0.0412,0.131,0.168
3.040,0.0439,0.134,0.143
3.060,0.0466,0.136,0.143
3.080,0.0494,0.139,0.168
3.100,0.0521,0.143,0.194
3.120,0.0551,0.148,0.194
3.140,0.0581,0.152,0.168
3.160,0.0611,0.155,0.135
3.180,0.0643,0.157,0.118
3.200,0.0674,0.159,0.135
3.220,0.0706,0.162,0.168
3.240,0.0738,0.166,0.185
3.260,0.0772,0.170,0.177
3.280,0.0806,0.173,0.168
3.300,0.0842,0.176,0.177
3.320,0.0877,0.180,0.194
3.340,0.0913,0.184,0.202
3.360,0.0951,0.188,0.211
3.380,0.0988,0.192,0.227
3.400,0.1027,0.197,0.227
3.420,0.1067,0.202,0.202
3.440,0.1108,0.205,0.168
3.460,0.1150,0.208,0.152
3.480,0.1191,0.211,0.143
3.500,0.1234,0.214,0.126
3.520,0.1277,0.216,0.118
3.540,0.1321,0.218,0.135
3.560,0.1364,0.221,0.168
3.580,0.1409,0.225,0.185
3.600,0.1454,0.229,0.168
3.620,0.1501,0.232,0.135
3.640,0.1547,0.234,0.118
3.660,0.1595,0.236,0.126
3.680,0.1642,0.239,0.152
3.700,0.1690,0.243,0.168
3.720,0.1739,0.247,0.177
3.740,0.1789,0.250,0.185
3.760,0.1840,0.254,0.185
3.780,0.1889,0.258,0.177
3.800,0.1943,0.261,0.160
3.820,0.1995,0.264,0.160
3.840,0.2047,0.267,0.168
3.860,0.2101,0.271,0.160
3.880,0.2156,0.274,0.143
3.900,0.2211,0.276,0.135
3.920,0.2266,0.279,0.135
3.940,0.2322,0.282,0.126
3.960,0.2379,0.284,0.118
3.980,0.2436,0.286,0.126
4.000,0.2493,0.289,0.135
4.020,0.2551,0.292,0.126
4.040,0.2611,0.294,0.118
4.060,0.2669,0.296,0.143
4.080,0.2728,0.299,0.185
4.100,0.2789,0.304,0.202
4.120,0.2850,0.308,0.177
4.140,0.2913,0.311,0.135
4.160,0.2975,0.313,0.118
4.180,0.3038,0.315,0.126
4.200,0.3101,0.318,0.143
4.220,0.3165,0.321,0.152
4.240,0.3229,0.324,0.152
4.260,0.3295,0.327,0.143
4.280,0.3360,0.330,0.118
4.300,0.3427,0.332,0.084
4.320,0.3494,0.333,0.067
4.340,0.3560,0.334,0.084
4.360,0.3627,0.337,0.118
4.380,0.3695,0.340,0.143
4.400,0.3763,0.343,0.152
4.420,0.3832,0.346,0.152
4.440,0.3901,0.349,0.152
4.460,0.3971,0.352,0.152
4.480,0.4042,0.355,0.152
4.500,0.4113,0.358,0.152
4.520,0.4185,0.361,0.152
4.540,0.4258,0.364,0.143
4.560,0.4330,0.367,0.118
4.580,0.4404,0.369,0.076
4.600,0.4478,0.370,0.042
4.620,0.4552,0.370,0.051
4.640,0.4626,0.371,0.093
4.660,0.4700,0.374,0.135
4.680,0.4775,0.377,0.152
4.700,0.4852,0.380,0.152
4.720,0.4927,0.383,0.143
4.740,0.5004,0.386,0.126
4.760,0.5082,0.388,0.118
4.780,0.5160,0.390,0.118
4.800,0.5237,0.393,0.109
4.820,0.5317,0.395,0.084
4.840,0.5396,0.396,0.076
4.860,0.5475,0.397,0.093
4.880,0.5555,0.400,0.101
4.900,0.5635,0.402,0.084
4.920,0.5716,0.403,0.076
4.940,0.5796,0.404,0.109
4.960,0.5878,0.407,0.152
4.980,0.5959,0.411,0.168
5.000,0.6042,0.414,0.152
5.020,0.6125,0.417,0.126
5.040,0.6209,0.419,0.101
5.060,0.6294,0.421,0.076
5.080,0.6377,0.422,0.059
5.100,0.6462,0.423,0.051
5.120,0.6547,0.424,0.059
5.140,0.6632,0.425,0.076
5.160,0.6717,0.427,0.093
5.180,0.6803,0.429,0.101
5.200,0.6889,0.431,0.101
5.220,0.6975,0.434,0.101
5.240,0.7062,0.436,0.101
5.260,0.7150,0.438,0.101
5.280,0.7237,0.440,0.093
5.300,0.7325,0.442,0.067
5.320,0.7414,0.443,0.042
5.340,0.7502,0.443,0.042
5.360,0.7591,0.444,0.067
5.380,0.7680,0.446,0.093
5.400,0.7769,0.448,0.093
5.420,0.7859,0.450,0.076
5.440,0.7949,0.451,0.059
5.460,0.8040,0.452,0.059
5.480,0.8129,0.453,0.084
5.500,0.8220,0.455,0.101
5.520,0.8311,0.458,0.084
5.540,0.8403,0.459,0.034
5.560,0.8496,0.459,-0.008
5.580,0.8587,0.458,-0.008
5.600,0.8679,0.458,0.017
5.620,0.8770,0.459,0.051
5.640,0.8862,0.460,0.076
5.660,0.8954,0.462,0.084
5.680,0.9046,0.464,0.067
5.700,0.9140,0.465,0.034
5.720,0.9233,0.465,0.008
5.740,0.9325,0.465,1.027E-13
5.760,0.9418,0.465,-0.008
5.780,0.9512,0.465,-0.017
5.800,0.9604,0.464,-0.008
5.820,0.9697,0.464,0.017
5.840,0.9790,0.465,0.042
5.860,0.9883,0.466,0.042
5.880,0.9976,0.467,0.034
5.900,1.0070,0.467,0.034
5.920,1.0163,0.468,0.034
5.940,1.0256,0.469,0.017
5.960,1.0351,0.469,-0.017
5.980,1.0444,0.468,-0.025
6.000,1.0538,0.467,-4.441E-14
6.020,1.0631,0.468,0.034
6.040,1.0724,0.469,0.042
6.060,1.0819,0.470,0.034
6.080,1.0912,0.470,0.034
6.100,1.1007,0.471,0.034
6.120,1.1100,0.472,0.025
6.140,1.1196,0.472,0.008
6.160,1.1290,0.472,0.008
6.180,1.1384,0.472,0.008
6.200,1.1479,0.473,-0.008
6.220,1.1573,0.472,-0.025
6.240,1.1668,0.471,-0.008
6.260,1.1761,0.471,0.042
6.280,1.1856,0.473,0.076
6.300,1.1950,0.475,0.067
6.320,1.2046,0.476,0.034
6.340,1.2141,0.476,0.017
6.360,1.2237,0.476,0.025
6.380,1.2331,0.477,0.059
6.400,1.2427,0.478,0.143
6.420,1.2523,0.481,-0.076
6.440,1.2619,0.489,-1.600
6.460,1.2717,0.457,-4.665
6.480,1.2820,0.310,-7.486
6.500,1.2870,0.100,-7.520
6.520,1.2838,-0.053,-4.497
6.540,1.2819,-0.083,-0.918
6.560,1.2808,-0.046,1.103
6.580,1.2800,-0.016,1.558
6.600,1.2800,0.013,1.558
6.620,1.2807,0.044,1.625
6.640,1.2817,0.080,1.314
6.660,1.2837,0.112,0.345
6.680,1.2866,0.103,-0.901
6.700,1.2893,0.063,-1.583
6.720,1.2885,0.021,-1.314
6.740,1.2893,0.004,-0.674
6.760,1.2891,0.004,-0.219
6.780,1.2891,-0.001,-0.067
6.800,1.2891,0.000,-0.025
6.820,1.2891,0.000,0.008
6.840,1.2891,0.000,0.000
6.860,1.2891,0.000,0.000
6.880,1.2891,0.000,0.000
6.900,1.2891,0.000,0.000
6.920,1.2891,0.000,0.000
6.940,1.2891,0.000,0.000
6.960,1.2891,0.000,0.000
6.980,1.2891,0.000,0.000
7.000,1.2891,0.000,0.000
