"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1"
0.000,0.0035,,
0.020,0.0027,-0.049,
0.040,0.0016,-0.060,-0.505
0.060,2.4252E-4,-0.069,-0.371
0.080,-0.0012,-0.075,-0.236
0.100,-0.0028,-0.078,-0.126
0.120,-0.0044,-0.079,-0.067
0.140,-0.0059,-0.080,-0.051
0.160,-0.0075,-0.081,-0.051
0.180,-0.0092,-0.082,-0.051
0.200,-0.0108,-0.083,-0.034
0.220,-0.0125,-0.084,0.034
0.240,-0.0142,-0.083,0.152
0.260,-0.0159,-0.078,0.278
0.280,-0.0173,-0.071,0.354
0.300,-0.0187,-0.063,0.362
0.320,-0.0199,-0.056,0.337
0.340,-0.0209,-0.050,0.312
0.360,-0.0218,-0.043,0.286
0.380,-0.0227,-0.037,0.227
0.400,-0.0233,-0.033,0.143
0.420,-0.0239,-0.032,0.101
0.440,-0.0246,-0.031,0.152
0.460,-0.0252,-0.027,0.278
0.480,-0.0257,-0.020,0.421
0.500,-0.0261,-0.010,0.522
0.520,-0.0262,0.002,0.531
0.540,-0.0260,0.013,0.438
0.560,-0.0256,0.020,0.303
0.580,-0.0251,0.024,0.202
0.600,-0.0246,0.027,0.168
0.620,-0.0240,0.030,0.185
0.640,-0.0234,0.034,0.219
0.660,-0.0227,0.039,0.227
0.680,-0.0218,0.044,0.185
0.700,-0.0209,0.047,0.109
0.720,-0.0199,0.049,0.042
0.740,-0.0189,0.049,-1.735E-16
0.760,-0.0179,0.049,-0.042
0.780,-0.0170,0.047,-0.118
0.800,-0.0160,0.044,-0.227
0.820,-0.0152,0.038,-0.320
0.840,-0.0144,0.030,-0.345
0.860,-0.0139,0.023,-0.286
0.880,-0.0136,0.018,-0.177
0.900,-0.0132,0.016,-0.076
0.920,-0.0130,0.016,-0.025
0.940,-0.0126,0.016,-0.042
0.960,-0.0122,0.015,-0.101
0.980,-0.0120,0.012,-0.168
1.000,-0.0118,0.008,-0.236
1.020,-0.0116,0.003,-0.320
1.040,-0.0116,-0.004,-0.438
1.060,-0.0118,-0.014,-0.564
1.080,-0.0121,-0.027,-0.648
1.100,-0.0129,-0.041,-0.648
1.120,-0.0138,-0.055,-0.564
1.140,-0.0150,-0.065,-0.429
1.160,-0.0165,-0.072,-0.295
1.180,-0.0179,-0.076,-0.211
1.200,-0.0195,-0.079,-0.185
1.220,-0.0211,-0.083,-0.185
1.240,-0.0228,-0.087,-0.160
1.260,-0.0246,-0.090,-0.084
1.280,-0.0264,-0.091,0.017
1.300,-0.0283,-0.089,0.101
1.320,-0.0301,-0.086,0.135
1.340,-0.0316,-0.083,0.135
1.360,-0.0333,-0.081,0.160
1.380,-0.0349,-0.078,0.227
1.400,-0.0365,-0.072,0.303
1.420,-0.0378,-0.065,0.345
1.440,-0.0390,-0.058,0.371
1.460,-0.0401,-0.051,0.404
1.480,-0.0411,-0.041,0.421
1.500,-0.0418,-0.032,0.396
1.520,-0.0423,-0.025,0.345
1.540,-0.0428,-0.019,0.303
1.560,-0.0432,-0.013,0.253
1.580,-0.0433,-0.008,0.168
1.600,-0.0434,-0.006,0.076
1.620,-0.0435,-0.006,0.008
1.640,-0.0437,-0.006,-0.034
1.660,-0.0438,-0.007,-0.076
1.680,-0.0439,-0.009,-0.118
1.700,-0.0441,-0.012,-0.143
1.720,-0.0444,-0.015,-0.143
1.740,-0.0447,-0.018,-0.109
1.760,-0.0451,-0.020,-0.034
1.780,-0.0456,-0.020,0.093
1.800,-0.0460,-0.017,0.261
1.820,-0.0463,-0.010,0.463
1.840,-0.0464,0.001,0.674
1.860,-0.0463,0.017,0.851
1.880,-0.0458,0.036,0.960
1.900,-0.0449,0.057,1.002
1.920,-0.0435,0.077,1.019
1.940,-0.0418,0.097,1.027
1.960,-0.0397,0.118,1.019
1.980,-0.0371,0.138,0.994
2.000,-0.0341,0.158,0.968
2.020,-0.0308,0.177,0.968
2.040,-0.0270,0.196,0.977
2.060,-0.0229,0.216,0.977
2.080,-0.0184,0.235,0.968
2.100,-0.0135,0.255,0.968
2.120,-0.0082,0.274,0.985
2.140,-0.0025,0.294,0.985
2.160,0.0035,0.314,0.960
2.180,0.0101,0.332,0.926
2.200,0.0169,0.351,0.918
2.220,0.0240,0.369,0.943
2.240,0.0316,0.388,0.985
2.260,0.0395,0.408,1.027
2.280,0.0479,0.429,1.044
2.300,0.0568,0.451,1.027
2.320,0.0660,0.471,0.994
2.340,0.0755,0.490,0.960
2.360,0.0856,0.509,0.935
2.380,0.0959,0.527,0.926
2.400,0.1067,0.546,0.935
2.420,0.1177,0.565,0.960
2.440,0.1293,0.584,0.985
2.460,0.1411,0.604,1.002
2.480,0.1534,0.625,1.002
2.500,0.1661,0.645,0.977
2.520,0.1792,0.664,0.943
2.540,0.1927,0.682,0.918
2.560,0.2065,0.700,0.918
2.580,0.2207,0.718,0.943
2.600,0.2352,0.738,0.977
2.620,0.2502,0.758,0.994
2.640,0.2656,0.778,0.977
2.660,0.2813,0.797,0.943
2.680,0.2975,0.815,0.926
2.700,0.3139,0.834,0.943
2.720,0.3308,0.853,0.977
2.740,0.3480,0.873,0.994
2.760,0.3657,0.893,0.985
2.780,0.3838,0.912,0.968
2.800,0.4022,0.932,0.960
2.820,0.4210,0.951,0.943
2.840,0.4403,0.970,0.859
2.860,0.4598,0.987,0.657
2.880,0.4798,0.998,0.379
2.900,0.5000,1.001,0.168
2.920,0.5200,1.001,0.084
2.940,0.5399,1.004,0.008
2.960,0.5601,1.005,-0.177
2.980,0.5804,0.998,-0.362
3.000,0.6001,0.986,-0.354
3.020,0.6197,0.980,-0.160
3.040,0.6392,0.981,0.025
3.060,0.6589,0.984,0.059
3.080,0.6786,0.985,-0.042
3.100,0.6983,0.983,-0.211
3.120,0.7180,0.977,-0.396
3.140,0.7375,0.967,-0.598
3.160,0.7567,0.954,-0.825
3.180,0.7757,0.935,-1.044
3.200,0.7943,0.910,-1.162
3.220,0.8121,0.885,-1.128
3.240,0.8296,0.864,-1.019
3.260,0.8467,0.846,-0.943
3.280,0.8634,0.828,-0.960
3.300,0.8798,0.808,-1.036
3.320,0.8958,0.786,-1.095
3.340,0.9113,0.763,-1.078
3.360,0.9262,0.742,-0.985
3.380,0.9409,0.724,-0.893
3.400,0.9552,0.707,-0.867
3.420,0.9691,0.690,-0.918
3.440,0.9828,0.671,-1.002
