"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1"
0.000,0.0016,,
0.020,0.0016,0.000,
0.040,0.0016,0.000,-0.025
0.060,0.0016,-0.001,-0.067
0.080,0.0016,-0.003,-0.076
0.100,0.0015,-0.005,-0.025
0.120,0.0013,-0.005,0.076
0.140,0.0012,-0.002,0.194
0.160,0.0012,0.003,0.278
0.180,0.0013,0.010,0.303
0.200,0.0016,0.016,0.269
0.220,0.0021,0.021,0.194
0.240,0.0024,0.024,0.109
0.260,0.0030,0.025,0.025
0.280,0.0035,0.025,-0.034
0.300,0.0040,0.023,-0.059
0.320,0.0045,0.022,-0.067
0.340,0.0049,0.021,-0.076
0.360,0.0053,0.019,-0.093
0.380,0.0057,0.017,-0.093
0.400,0.0059,0.015,-0.084
0.420,0.0063,0.014,-0.093
0.440,0.0065,0.012,-0.109
0.460,0.0068,0.009,-0.118
0.480,0.0069,0.007,-0.109
0.500,0.0070,0.005,-0.101
0.520,0.0072,0.003,-0.093
0.540,0.0072,0.001,-0.076
0.560,0.0072,0.000,-0.067
0.580,0.0072,-0.001,-0.084
0.600,0.0072,-0.003,-0.109
0.620,0.0070,-0.006,-0.109
0.640,0.0069,-0.008,-0.093
0.660,0.0067,-0.009,-0.084
0.680,0.0065,-0.011,-0.084
0.700,0.0063,-0.013,-0.042
0.720,0.0059,-0.014,0.067
0.740,0.0057,-0.011,0.219
0.760,0.0055,-0.005,0.396
0.780,0.0055,0.004,0.589
0.800,0.0056,0.018,0.783
0.820,0.0061,0.036,0.918
0.840,0.0070,0.057,0.968
0.860,0.0084,0.076,0.977
0.880,0.0101,0.095,0.977
0.900,0.0121,0.115,0.977
0.920,0.0147,0.134,0.968
0.940,0.0176,0.154,0.968
0.960,0.0207,0.173,0.977
0.980,0.0245,0.193,0.968
1.000,0.0285,0.212,0.960
1.020,0.0330,0.230,0.968
1.040,0.0377,0.251,0.985
1.060,0.0429,0.271,0.977
1.080,0.0486,0.290,0.952
1.100,0.0546,0.308,0.960
1.120,0.0609,0.327,0.994
1.140,0.0677,0.349,1.019
1.160,0.0748,0.369,1.019
1.180,0.0825,0.389,1.011
1.200,0.0903,0.409,1.011
1.220,0.0988,0.429,1.011
1.240,0.1076,0.450,1.011
1.260,0.1168,0.470,0.994
1.280,0.1264,0.490,0.952
1.300,0.1364,0.508,0.909
1.320,0.1467,0.525,0.909
1.340,0.1574,0.544,0.960
1.360,0.1684,0.564,1.019
1.380,0.1800,0.585,1.044
1.400,0.1918,0.606,1.027
1.420,0.2042,0.627,0.985
1.440,0.2169,0.646,0.943
1.460,0.2300,0.664,0.918
1.480,0.2435,0.682,0.909
1.500,0.2573,0.700,0.926
1.520,0.2715,0.718,0.968
1.540,0.2861,0.739,1.019
1.560,0.3010,0.760,1.036
1.580,0.3165,0.781,0.994
1.600,0.3323,0.800,0.926
1.620,0.3485,0.818,0.893
1.640,0.3650,0.835,0.926
1.660,0.3819,0.854,0.994
1.680,0.3991,0.875,1.036
1.700,0.4169,0.896,1.027
1.720,0.4350,0.917,0.994
1.740,0.4535,0.936,0.943
1.760,0.4724,0.955,0.834
1.780,0.4917,0.971,0.615
1.800,0.5114,0.981,0.328
1.820,0.5311,0.983,0.084
1.840,0.5508,0.982,-0.059
1.860,0.5703,0.980,-0.135
1.880,0.5901,0.977,-0.202
1.900,0.6095,0.972,-0.244
1.920,0.6289,0.966,-0.219
1.940,0.6481,0.962,-0.118
1.960,0.6673,0.961,0.008
1.980,0.6865,0.963,0.076
2.000,0.7059,0.966,0.017
2.020,0.7251,0.966,-0.160
2.040,0.7446,0.960,-0.379
2.060,0.7637,0.950,-0.573
2.080,0.7825,0.937,-0.749
2.100,0.8012,0.921,-0.943
2.120,0.8195,0.899,-1.112
2.140,0.8372,0.874,-1.179
2.160,0.8544,0.850,-1.128
2.180,0.8711,0.829,-1.019
2.200,0.8875,0.809,-0.935
2.220,0.9035,0.792,-0.926
2.240,0.9192,0.774,-0.994
2.260,0.9346,0.753,-1.069
2.280,0.9494,0.730,-1.061
2.300,0.9637,0.708,-0.977
2.320,0.9776,0.691,-0.909
2.340,0.9913,0.674,-0.918
2.360,1.0047,0.655,-0.968
2.380,1.0175,0.635,-1.002
2.400,1.0300,0.614,-1.011
2.420,1.0421,0.594,-1.002
2.440,1.0538,0.574,-0.977
2.460,1.0650,0.555,-0.952
2.480,1.0760,0.537,-0.943
2.500,1.0865,0.517,-0.943
2.520,1.0967,0.498,-0.935
2.540,1.1064,0.480,-0.935
2.560,1.1159,0.462,-0.968
2.580,1.1249,0.442,-1.011
2.600,1.1336,0.420,-1.027
2.620,1.1417,0.400,-1.019
2.640,1.1496,0.380,-1.002
2.660,1.1570,0.360,-0.968
2.680,1.1639,0.341,-0.926
2.700,1.1705,0.323,-0.918
2.720,1.1769,0.305,-0.943
2.740,1.1828,0.285,-0.968
2.760,1.1882,0.266,-0.968
2.780,1.1933,0.247,-0.968
2.800,1.1982,0.227,-0.977
2.820,1.2024,0.207,-0.968
2.840,1.2064,0.188,-0.952
2.860,1.2100,0.170,-0.943
2.880,1.2132,0.151,-0.960
2.900,1.2160,0.131,-0.977
2.920,1.2184,0.111,-0.968
2.940,1.2205,0.092,-0.943
2.960,1.2221,0.074,-0.918
2.980,1.2234,0.056,-0.909
3.000,1.2244,0.037,-0.909
3.020,1.2249,0.019,-0.909
3.040,1.2251,0.001,-0.909
3.060,1.2250,-0.017,-0.909
3.080,1.2244,-0.035,-0.909
3.100,1.2235,-0.054,-0.918
3.120,1.2223,-0.072,-0.935
3.140,1.2206,-0.091,-0.943
3.160,1.2187,-0.110,-0.935
3.180,1.2163,-0.128,-0.918
3.200,1.2135,-0.147,-0.918
3.220,1.2104,-0.165,-0.943
3.240,1.2069,-0.184,-0.968
3.260,1.2030,-0.204,-0.977
3.280,1.1988,-0.223,-0.960
3.300,1.1941,-0.243,-0.935
3.320,1.1891,-0.261,-0.926
3.340,1.1836,-0.279,-0.935
3.360,1.1779,-0.298,-0.952
3.380,1.1718,-0.317,-0.952
3.400,1.1652,-0.337,-0.935
3.420,1.1583,-0.355,-0.926
3.440,1.1510,-0.373,-0.943
3.460,1.1434,-0.392,-0.977
3.480,1.1354,-0.412,-0.994
3.500,1.1269,-0.433,-0.985
3.520,1.1180,-0.452,-0.977
3.540,1.1088,-0.471,-0.977
3.560,1.0992,-0.491,-0.960
3.580,1.0892,-0.510,-0.918
3.600,1.0787,-0.527,-0.884
3.620,1.0681,-0.545,-0.893
3.640,1.0570,-0.563,-0.935
3.660,1.0455,-0.582,-0.977
3.680,1.0338,-0.602,-1.002
3.700,1.0215,-0.622,-0.994
3.720,1.0088,-0.643,-0.952
3.740,0.9958,-0.661,-0.909
3.760,0.9823,-0.678,-0.893
3.780,0.9686,-0.696,-0.893
3.800,0.9546,-0.714,-0.893
3.820,0.9400,-0.732,-0.901
3.840,0.9252,-0.750,-0.918
3.860,0.9102,-0.769,-0.918
3.880,0.8944,-0.787,-0.901
3.900,0.8785,-0.804,-0.926
3.920,0.8624,-0.823,-1.011
3.940,0.8457,-0.845,-1.078
3.960,0.8286,-0.868,-1.053
3.980,0.8110,-0.888,-0.935
4.000,0.7929,-0.905,-0.792
4.020,0.7747,-0.920,-0.657
4.040,0.7562,-0.932,-0.505
4.060,0.7374,-0.941,-0.312
4.080,0.7185,-0.945,-0.084
4.100,0.6996,-0.944,0.126
4.120,0.6806,-0.939,0.244
4.140,0.6620,-0.932,0.211
4.160,0.6434,-0.928,0.051
4.180,0.6250,-0.930,-0.109
4.200,0.6063,-0.935,-0.160
4.220,0.5875,-0.938,-0.118
4.240,0.5687,-0.939,-0.067
4.260,0.5500,-0.940,-0.017
4.280,0.5311,-0.941,0.118
4.300,0.5123,-0.938,0.362
4.320,0.4935,-0.927,0.632
4.340,0.4751,-0.910,0.817
4.360,0.4572,-0.892,0.901
4.380,0.4395,-0.874,0.960
4.400,0.4221,-0.855,1.027
4.420,0.4053,-0.833,1.078
4.440,0.3888,-0.810,1.069
4.460,0.3729,-0.789,1.011
4.480,0.3572,-0.770,0.952
4.500,0.3421,-0.752,0.926
4.520,0.3272,-0.734,0.952
4.540,0.3127,-0.714,1.011
4.560,0.2985,-0.693,1.061
4.580,0.2850,-0.671,1.053
4.600,0.2717,-0.650,0.994
4.620,0.2590,-0.632,0.943
4.640,0.2465,-0.613,0.943
4.660,0.2344,-0.594,0.968
4.680,0.2228,-0.574,0.977
4.700,0.2115,-0.555,0.985
