"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1"
0.000,-0.0012,,
0.020,-0.0012,0.000,
0.040,-0.0012,0.000,0.000
0.060,-0.0012,0.000,0.000
0.080,-0.0012,0.000,0.000
0.100,-0.0012,0.000,-0.008
0.120,-0.0012,0.000,-0.042
0.140,-0.0012,-0.001,-0.084
0.160,-0.0012,-0.004,-0.093
0.180,-0.0013,-0.006,-0.042
0.200,-0.0016,-0.006,0.025
0.220,-0.0016,-0.004,0.042
0.240,-0.0017,-0.003,0.008
0.260,-0.0017,-0.004,-0.034
0.280,-0.0018,-0.005,-0.042
0.300,-0.0019,-0.006,-0.034
0.320,-0.0021,-0.006,-0.042
0.340,-0.0022,-0.007,-0.067
0.360,-0.0023,-0.009,-0.084
0.380,-0.0025,-0.011,-0.067
0.400,-0.0028,-0.012,-0.034
0.420,-0.0030,-0.012,-0.008
0.440,-0.0033,-0.012,4.337E-17
0.460,-0.0035,-0.012,-3.469E-16
0.480,-0.0038,-0.012,-2.602E-16
0.500,-0.0040,-0.012,0.008
0.520,-0.0042,-0.012,0.034
0.540,-0.0045,-0.011,0.067
0.560,-0.0047,-0.009,0.093
0.580,-0.0049,-0.007,0.093
0.600,-0.0050,-0.005,0.067
0.620,-0.0051,-0.004,0.025
0.640,-0.0051,-0.004,-0.008
0.660,-0.0052,-0.005,-0.008
0.680,-0.0053,-0.005,0.017
0.700,-0.0055,-0.004,0.042
0.720,-0.0055,-0.003,0.051
0.740,-0.0056,-0.002,0.059
0.760,-0.0056,-0.001,0.076
0.780,-0.0056,0.001,0.093
0.800,-0.0056,0.003,0.101
0.820,-0.0055,0.005,0.101
0.840,-0.0053,0.007,0.101
0.860,-0.0052,0.009,0.093
0.880,-0.0050,0.011,0.067
0.900,-0.0047,0.012,0.025
0.920,-0.0045,0.012,-0.034
0.940,-0.0042,0.011,-0.109
0.960,-0.0040,0.008,-0.185
0.980,-0.0039,0.003,-0.219
1.000,-0.0039,-0.002,-0.202
1.020,-0.0040,-0.005,-0.177
1.040,-0.0041,-0.008,-0.177
1.060,-0.0042,-0.012,-0.177
1.080,-0.0046,-0.016,-0.135
1.100,-0.0050,-0.018,-0.059
1.120,-0.0053,-0.018,0.017
1.140,-0.0057,-0.017,0.084
1.160,-0.0061,-0.015,0.160
1.180,-0.0063,-0.011,0.244
1.200,-0.0065,-0.005,0.312
1.220,-0.0065,0.002,0.345
1.240,-0.0064,0.009,0.354
1.260,-0.0062,0.016,0.354
1.280,-0.0058,0.023,0.345
1.300,-0.0052,0.030,0.328
1.320,-0.0046,0.036,0.320
1.340,-0.0038,0.042,0.328
1.360,-0.0029,0.050,0.345
1.380,-0.0018,0.057,0.337
1.400,-6.0631E-4,0.064,0.312
1.420,7.2757E-4,0.069,0.303
1.440,0.0022,0.075,0.320
1.460,0.0036,0.082,0.345
1.480,0.0055,0.089,0.345
1.500,0.0073,0.096,0.337
1.520,0.0092,0.102,0.328
1.540,0.0114,0.109,0.320
1.560,0.0136,0.115,0.320
1.580,0.0160,0.121,0.320
1.600,0.0184,0.128,0.320
1.620,0.0211,0.134,0.312
1.640,0.0239,0.140,0.312
1.660,0.0267,0.147,0.328
1.680,0.0297,0.154,0.328
1.700,0.0329,0.161,0.303
1.720,0.0361,0.166,0.278
1.740,0.0395,0.171,0.286
1.760,0.0429,0.177,0.320
1.780,0.0466,0.184,0.337
1.800,0.0503,0.191,0.320
1.820,0.0542,0.197,0.286
1.840,0.0582,0.202,0.269
1.860,0.0623,0.207,0.286
1.880,0.0665,0.213,0.320
1.900,0.0708,0.220,0.328
1.920,0.0753,0.227,0.303
1.940,0.0799,0.232,0.278
1.960,0.0846,0.237,0.286
1.980,0.0894,0.244,0.328
2.000,0.0943,0.251,0.362
2.020,0.0994,0.259,0.362
2.040,0.1046,0.266,0.337
2.060,0.1101,0.272,0.312
2.080,0.1156,0.278,0.312
2.100,0.1211,0.284,0.320
2.120,0.1270,0.291,0.312
2.140,0.1328,0.297,0.295
2.160,0.1388,0.302,0.286
2.180,0.1449,0.308,0.295
2.200,0.1511,0.314,0.295
2.220,0.1575,0.320,0.286
2.240,0.1639,0.325,0.295
2.260,0.1705,0.331,0.312
2.280,0.1772,0.339,0.312
2.300,0.1841,0.345,0.286
2.320,0.1910,0.350,0.269
2.340,0.1980,0.355,0.278
2.360,0.2052,0.361,0.303
2.380,0.2125,0.367,0.328
2.400,0.2198,0.374,0.337
2.420,0.2274,0.381,0.320
2.440,0.2351,0.387,0.295
2.460,0.2429,0.392,0.286
2.480,0.2508,0.398,0.286
2.500,0.2588,0.404,0.269
2.520,0.2670,0.409,0.244
2.540,0.2751,0.413,0.244
2.560,0.2835,0.418,0.269
2.580,0.2919,0.424,0.295
2.600,0.3005,0.430,0.303
2.620,0.3091,0.437,0.303
2.640,0.3179,0.443,0.303
2.660,0.3268,0.449,0.295
2.680,0.3359,0.455,0.278
2.700,0.3450,0.460,0.261
2.720,0.3543,0.465,0.253
2.740,0.3635,0.470,0.253
2.760,0.3731,0.475,0.244
2.780,0.3826,0.480,0.244
2.800,0.3923,0.484,0.269
2.820,0.4020,0.490,0.312
2.840,0.4118,0.497,0.328
2.860,0.4219,0.504,0.295
2.880,0.4321,0.509,0.253
2.900,0.4422,0.513,0.236
2.920,0.4526,0.518,0.236
2.940,0.4630,0.523,0.227
2.960,0.4735,0.527,0.219
2.980,0.4841,0.532,0.236
3.000,0.4947,0.537,0.269
3.020,0.5055,0.543,0.286
3.040,0.5165,0.549,0.278
3.060,0.5275,0.554,0.261
3.080,0.5386,0.559,0.253
3.100,0.5498,0.564,0.244
3.120,0.5612,0.569,0.219
3.140,0.5726,0.573,0.202
3.160,0.5841,0.576,0.219
3.180,0.5956,0.581,0.261
3.200,0.6073,0.587,0.286
3.220,0.6192,0.593,0.269
3.240,0.6310,0.598,0.236
3.260,0.6431,0.602,0.211
3.280,0.6552,0.606,0.202
3.300,0.6673,0.610,0.211
3.320,0.6796,0.614,0.227
3.340,0.6919,0.619,0.244
3.360,0.7043,0.625,0.253
3.380,0.7169,0.630,0.244
3.400,0.7295,0.635,0.219
3.420,0.7422,0.639,0.185
3.440,0.7551,0.642,0.160
3.460,0.7680,0.645,0.160
3.480,0.7808,0.648,0.185
3.500,0.7939,0.652,0.219
3.520,0.8069,0.657,0.244
3.540,0.8201,0.662,0.236
3.560,0.8334,0.667,0.202
3.580,0.8468,0.670,0.168
3.600,0.8602,0.673,0.143
3.620,0.8737,0.676,0.135
3.640,0.8873,0.678,0.143
3.660,0.9009,0.681,0.168
3.680,0.9144,0.685,0.185
3.700,0.9283,0.689,0.168
3.720,0.9421,0.692,0.126
3.740,0.9559,0.694,0.084
3.760,0.9699,0.695,0.076
3.780,0.9838,0.696,0.118
3.800,0.9976,0.699,0.177
3.820,1.0117,0.704,0.194
3.840,1.0259,0.708,0.160
3.860,1.0401,0.710,0.118
3.880,1.0543,0.712,0.101
3.900,1.0686,0.714,0.109
3.920,1.0829,0.716,0.135
3.940,1.0972,0.719,0.168
3.960,1.1116,0.724,0.185
3.980,1.1262,0.728,0.168
4.000,1.1407,0.731,0.126
