"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1"
0.000,-6.0631E-4,,
0.020,-9.7010E-4,-0.015,
0.040,-0.0012,-0.015,0.025
0.060,-0.0016,-0.014,0.059
0.080,-0.0018,-0.013,0.101
0.100,-0.0021,-0.010,0.135
0.120,-0.0023,-0.007,0.143
0.140,-0.0023,-0.004,0.118
0.160,-0.0024,-0.002,0.084
0.180,-0.0024,-0.001,0.059
0.200,-0.0024,0.000,0.051
0.220,-0.0024,0.001,0.042
0.240,-0.0024,0.002,0.017
0.260,-0.0023,0.002,-0.017
0.280,-0.0023,0.001,-0.034
0.300,-0.0023,0.000,-0.025
0.320,-0.0023,0.000,-0.008
0.340,-0.0023,0.000,0.000
0.360,-0.0023,0.000,0.000
0.380,-0.0023,0.000,-0.008
0.400,-0.0023,0.000,-0.025
0.420,-0.0023,-0.001,-0.042
0.440,-0.0023,-0.002,-0.051
0.460,-0.0024,-0.003,-0.042
0.480,-0.0024,-0.004,-0.017
0.500,-0.0025,-0.004,0.034
0.520,-0.0027,-0.003,0.084
0.540,-0.0027,0.000,0.093
0.560,-0.0027,0.002,0.051
0.580,-0.0025,0.002,8.674E-17
0.600,-0.0025,0.001,-2.711E-17
0.620,-0.0025,0.001,0.059
0.640,-0.0025,0.003,0.152
0.660,-0.0024,0.007,0.244
0.680,-0.0023,0.013,0.312
0.700,-0.0019,0.020,0.337
0.720,-0.0015,0.027,0.328
0.740,-8.4884E-4,0.033,0.320
0.760,-1.2126E-4,0.039,0.328
0.780,7.2757E-4,0.046,0.337
0.800,0.0017,0.054,0.328
0.820,0.0029,0.060,0.320
0.840,0.0041,0.066,0.328
0.860,0.0055,0.073,0.337
0.880,0.0070,0.080,0.328
0.900,0.0087,0.086,0.320
0.920,0.0104,0.092,0.328
0.940,0.0124,0.099,0.337
0.960,0.0144,0.106,0.320
0.980,0.0166,0.112,0.286
1.000,0.0189,0.117,0.269
1.020,0.0213,0.122,0.295
1.040,0.0238,0.128,0.345
1.060,0.0264,0.136,0.371
1.080,0.0292,0.145,0.354
1.100,0.0323,0.151,0.320
1.120,0.0353,0.157,0.312
1.140,0.0384,0.163,0.328
1.160,0.0418,0.170,0.345
1.180,0.0452,0.177,0.345
1.200,0.0489,0.184,0.320
1.220,0.0526,0.190,0.303
1.240,0.0565,0.195,0.312
1.260,0.0604,0.202,0.328
1.280,0.0645,0.209,0.320
1.300,0.0689,0.215,0.295
1.320,0.0731,0.220,0.295
1.340,0.0776,0.226,0.320
1.360,0.0822,0.233,0.345
1.380,0.0869,0.241,0.354
1.400,0.0918,0.248,0.345
1.420,0.0969,0.255,0.328
1.440,0.1020,0.261,0.312
1.460,0.1073,0.267,0.295
1.480,0.1127,0.273,0.286
1.500,0.1182,0.278,0.286
1.520,0.1238,0.284,0.303
1.540,0.1295,0.290,0.328
1.560,0.1354,0.297,0.345
1.580,0.1414,0.304,0.354
1.600,0.1476,0.311,0.345
1.620,0.1539,0.318,0.320
