"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1"
0.000,4.8505E-4,,
0.020,3.6379E-4,-0.009,
0.040,1.2126E-4,-0.013,-0.126
0.060,-2.4252E-4,-0.014,-0.017
0.080,-4.8505E-4,-0.013,0.059
0.100,-7.2757E-4,-0.011,0.101
0.120,-9.7010E-4,-0.009,0.135
0.140,-0.0011,-0.006,0.168
0.160,-0.0012,-0.002,0.194
0.180,-0.0012,0.002,0.194
0.200,-0.0011,0.006,0.168
0.220,-9.7010E-4,0.009,0.126
0.240,-7.2757E-4,0.011,0.076
0.260,-4.8505E-4,0.012,0.034
0.280,-2.4252E-4,0.012,1.301E-16
0.300,1.0842E-19,0.012,-0.025
0.320,2.4252E-4,0.011,-0.051
0.340,4.8505E-4,0.010,-0.093
0.360,6.0631E-4,0.008,-0.143
0.380,8.4884E-4,0.004,-0.177
0.400,8.4884E-4,0.000,-0.160
0.420,7.2757E-4,-0.003,-0.109
0.440,7.2757E-4,-0.004,-0.059
0.460,6.0631E-4,-0.005,-0.017
0.480,4.8505E-4,-0.005,0.017
0.500,3.6379E-4,-0.004,0.042
0.520,3.6379E-4,-0.003,0.059
0.540,2.4252E-4,-0.002,0.076
0.560,2.4252E-4,0.000,0.076
0.580,2.4252E-4,0.002,0.042
0.600,3.6379E-4,0.002,-0.008
0.620,3.6379E-4,0.001,-0.034
0.640,3.6379E-4,0.000,-0.017
0.660,3.6379E-4,0.000,0.034
0.680,3.6379E-4,0.001,0.101
0.700,3.6379E-4,0.004,0.152
0.720,4.8505E-4,0.008,0.152
0.740,7.2757E-4,0.011,0.093
0.760,9.7010E-4,0.012,0.008
0.780,0.0012,0.011,-0.067
0.800,0.0015,0.009,-0.126
0.820,0.0016,0.006,-0.177
0.840,0.0017,0.002,-0.211
0.860,0.0017,-0.003,-0.202
0.880,0.0016,-0.007,-0.143
0.900,0.0013,-0.009,-0.067
0.920,0.0012,-0.009,-0.017
0.940,9.7010E-4,-0.009,0.008
0.960,8.4884E-4,-0.009,0.017
0.980,6.0631E-4,-0.008,0.017
1.000,4.8505E-4,-0.008,0.008
1.020,3.6379E-4,-0.008,1.735E-16
1.040,1.2126E-4,-0.008,1.735E-16
1.060,2.1684E-19,-0.008,8.674E-17
1.080,-1.2126E-4,-0.008,0.000
1.100,-3.6379E-4,-0.008,-4.337E-17
1.120,-4.8505E-4,-0.008,-4.337E-17
1.140,-6.0631E-4,-0.008,0.008
1.160,-8.4884E-4,-0.008,0.025
1.180,-9.7010E-4,-0.007,0.034
1.200,-0.0011,-0.006,0.025
1.220,-0.0012,-0.006,0.017
1.240,-0.0013,-0.006,0.025
1.260,-0.0015,-0.005,0.042
1.280,-0.0016,-0.004,0.051
1.300,-0.0016,-0.003,0.051
1.320,-0.0017,-0.002,0.059
1.340,-0.0017,-0.001,0.067
1.360,-0.0017,0.001,0.059
1.380,-0.0017,0.002,0.025
1.400,-0.0016,0.002,-0.025
1.420,-0.0016,0.001,-0.059
1.440,-0.0016,-0.001,-0.042
1.460,-0.0016,-0.002,0.051
1.480,-0.0017,0.000,0.202
1.500,-0.0017,0.006,0.354
1.520,-0.0015,0.015,0.472
1.540,-0.0011,0.025,0.573
1.560,-4.8505E-4,0.037,0.691
1.580,3.6379E-4,0.053,0.825
1.600,0.0016,0.071,0.935
1.620,0.0032,0.091,0.985
1.640,0.0052,0.111,0.977
1.660,0.0076,0.130,0.952
1.680,0.0104,0.149,0.952
1.700,0.0136,0.168,0.968
1.720,0.0171,0.188,0.977
1.740,0.0211,0.207,0.968
1.760,0.0255,0.226,0.960
1.780,0.0301,0.246,0.960
1.800,0.0353,0.265,0.960
1.820,0.0407,0.284,0.968
1.840,0.0466,0.303,0.985
1.860,0.0529,0.323,0.994
1.880,0.0595,0.344,0.994
1.900,0.0666,0.363,1.002
1.920,0.0741,0.383,1.027
1.940,0.0819,0.404,1.036
1.960,0.0902,0.425,0.994
1.980,0.0989,0.445,0.935
2.000,0.1080,0.462,0.909
2.020,0.1174,0.480,0.935
2.040,0.1272,0.499,0.968
2.060,0.1374,0.519,0.977
2.080,0.1479,0.539,0.977
2.100,0.1590,0.558,0.985
2.120,0.1703,0.578,1.002
2.140,0.1820,0.598,1.002
2.160,0.1943,0.618,0.977
2.180,0.2068,0.638,0.943
2.200,0.2197,0.656,0.909
2.220,0.2331,0.674,0.901
2.240,0.2466,0.691,0.935
2.260,0.2607,0.710,0.994
2.280,0.2750,0.732,1.036
2.300,0.2899,0.753,1.011
2.320,0.3052,0.773,0.943
2.340,0.3209,0.790,0.893
2.360,0.3369,0.807,0.901
2.380,0.3531,0.826,0.960
2.400,0.3698,0.846,1.011
2.420,0.3869,0.867,1.011
2.440,0.4045,0.887,0.968
2.460,0.4225,0.905,0.935
2.480,0.4408,0.924,0.918
2.500,0.4593,0.943,0.842
2.520,0.4785,0.960,0.632
2.540,0.4979,0.970,0.345
2.560,0.5174,0.972,0.109
2.580,0.5368,0.972,-0.017
2.600,0.5562,0.971,-0.084
2.620,0.5758,0.969,-0.152
2.640,0.5950,0.965,-0.194
2.660,0.6143,0.960,-0.177
2.680,0.6335,0.957,-0.093
2.700,0.6525,0.956,0.008
2.720,0.6717,0.958,0.051
2.740,0.6908,0.960,-0.008
2.760,0.7101,0.959,-0.168
2.780,0.7293,0.954,-0.371
2.800,0.7483,0.944,-0.564
2.820,0.7671,0.931,-0.733
2.840,0.7855,0.915,-0.893
2.860,0.8037,0.895,-1.053
2.880,0.8214,0.872,-1.154
2.900,0.8386,0.847,-1.137
2.920,0.8553,0.825,-1.027
2.940,0.8715,0.806,-0.943
2.960,0.8875,0.789,-0.960
2.980,0.9032,0.769,-1.027
3.000,0.9183,0.747,-1.061
3.020,0.9330,0.726,-1.036
3.040,0.9473,0.705,-0.985
3.060,0.9612,0.686,-0.943
3.080,0.9747,0.668,-0.926
3.100,0.9879,0.650,-0.943
3.120,1.0008,0.631,-0.977
3.140,1.0131,0.610,-1.002
3.160,1.0252,0.590,-1.011
3.180,1.0368,0.570,-0.994
3.200,1.0479,0.550,-0.952
3.220,1.0587,0.532,-0.909
3.240,1.0692,0.514,-0.901
3.260,1.0794,0.496,-0.926
3.280,1.0891,0.477,-0.952
3.300,1.0984,0.458,-0.968
3.320,1.1074,0.439,-0.994
3.340,1.1160,0.418,-1.019
3.360,1.1241,0.397,-1.019
3.380,1.1319,0.377,-0.994
3.400,1.1391,0.358,-0.968
3.420,1.1462,0.339,-0.952
3.440,1.1527,0.319,-0.935
3.460,1.1589,0.301,-0.926
3.480,1.1647,0.283,-0.935
3.500,1.1703,0.264,-0.952
3.520,1.1753,0.245,-0.960
3.540,1.1800,0.225,-0.960
3.560,1.1844,0.206,-0.960
3.580,1.1882,0.187,-0.960
3.600,1.1918,0.168,-0.960
3.620,1.1950,0.149,-0.952
3.640,1.1977,0.129,-0.926
3.660,1.2001,0.111,-0.909
3.680,1.2022,0.094,-0.918
3.700,1.2039,0.075,-0.943
3.720,1.2052,0.056,-0.952
3.740,1.2061,0.036,-0.935
3.760,1.2067,0.018,-0.926
3.780,1.2068,0.000,-0.935
3.800,1.2067,-0.019,-0.952
3.820,1.2061,-0.038,-0.952
3.840,1.2051,-0.058,-0.926
3.860,1.2038,-0.076,-0.893
3.880,1.2021,-0.093,-0.876
3.900,1.2000,-0.110,-0.893
3.920,1.1977,-0.128,-0.926
3.940,1.1949,-0.148,-0.952
3.960,1.1918,-0.167,-0.960
3.980,1.1882,-0.186,-0.960
4.000,1.1844,-0.205,-0.952
4.020,1.1800,-0.224,-0.935
4.040,1.1754,-0.243,-0.926
4.060,1.1703,-0.261,-0.935
4.080,1.1650,-0.280,-0.952
4.100,1.1591,-0.299,-0.952
4.120,1.1530,-0.318,-0.935
4.140,1.1464,-0.337,-0.918
4.160,1.1395,-0.355,-0.918
4.180,1.1322,-0.373,-0.943
4.200,1.1246,-0.392,-0.977
4.220,1.1166,-0.412,-0.994
4.240,1.1081,-0.433,-0.977
4.260,1.0992,-0.452,-0.943
4.280,1.0900,-0.470,-0.918
4.300,1.0804,-0.488,-0.909
4.320,1.0705,-0.506,-0.909
4.340,1.0602,-0.524,-0.909
4.360,1.0495,-0.543,-0.918
4.380,1.0385,-0.561,-0.943
4.400,1.0271,-0.580,-0.985
4.420,1.0153,-0.600,-1.011
4.440,1.0031,-0.621,-0.985
4.460,0.9905,-0.641,-0.926
4.480,0.9774,-0.658,-0.884
4.500,0.9642,-0.675,-0.867
4.520,0.9505,-0.693,-0.834
4.540,0.9364,-0.709,-0.792
4.560,0.9220,-0.724,-0.800
4.580,0.9075,-0.740,-0.876
4.600,0.8925,-0.759,-0.952
4.620,0.8771,-0.779,-0.977
4.640,0.8613,-0.798,-0.985
4.660,0.8452,-0.818,-1.019
4.680,0.8286,-0.839,-1.044
4.700,0.8117,-0.861,-0.994
4.720,0.7941,-0.880,-0.859
4.740,0.7763,-0.895,-0.716
4.760,0.7584,-0.907,-0.598
4.780,0.7401,-0.920,-0.463
4.800,0.7215,-0.928,-0.278
4.820,0.7028,-0.931,-0.067
4.840,0.6843,-0.930,0.101
4.860,0.6656,-0.926,0.185
4.880,0.6472,-0.921,0.152
4.900,0.6289,-0.918,0.025
4.920,0.6106,-0.920,-0.084
4.940,0.5921,-0.924,-0.093
4.960,0.5736,-0.925,-0.034
4.980,0.5550,-0.924,-2.831E-13
5.000,0.5367,-0.924,0.017
5.020,0.5182,-0.925,0.126
5.040,0.4996,-0.922,0.362
5.060,0.4812,-0.910,0.623
5.080,0.4631,-0.894,0.792
5.100,0.4454,-0.877,0.867
5.120,0.4281,-0.860,0.926
5.140,0.4110,-0.841,1.002
5.160,0.3943,-0.820,1.061
5.180,0.3782,-0.797,1.061
5.200,0.3625,-0.776,1.011
5.220,0.3472,-0.757,0.952
5.240,0.3323,-0.739,0.935
5.260,0.3176,-0.720,0.968
5.280,0.3034,-0.700,1.011
5.300,0.2896,-0.679,1.027
5.320,0.2762,-0.659,1.019
5.340,0.2633,-0.639,1.011
5.360,0.2506,-0.618,0.994
5.380,0.2385,-0.598,0.960
5.400,0.2268,-0.580,0.935
5.420,0.2154,-0.562,0.943
5.440,0.2042,-0.543,0.985
5.460,0.1937,-0.522,1.027
5.480,0.1833,-0.501,1.053
5.500,0.1735,-0.480,1.053
5.520,0.1642,-0.459,1.027
5.540,0.1552,-0.439,0.994
5.560,0.1466,-0.419,0.968
5.580,0.1385,-0.400,0.960
5.600,0.1306,-0.381,0.968
5.620,0.1232,-0.362,0.985
5.640,0.1162,-0.342,1.002
5.660,0.1095,-0.321,1.002
5.680,0.1033,-0.301,0.985
5.700,0.0975,-0.282,0.977
5.720,0.0920,-0.263,0.985
5.740,0.0869,-0.243,1.002
5.760,0.0823,-0.222,1.011
5.780,0.0781,-0.202,1.019
5.800,0.0742,-0.182,1.036
5.820,0.0708,-0.161,1.053
5.840,0.0678,-0.139,1.061
5.860,0.0652,-0.118,1.053
5.880,0.0631,-0.097,1.027
5.900,0.0614,-0.077,0.994
5.920,0.0600,-0.058,0.977
5.940,0.0591,-0.038,0.985
5.960,0.0584,-0.018,0.994
5.980,0.0583,0.002,0.985
6.000,0.0586,0.021,0.977
6.020,0.0592,0.040,0.994
