"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1"
4.780,1.1315,-0.192
4.800,1.1277,-0.192
4.820,1.1239,-0.192
4.840,1.1200,-0.192
4.860,1.1162,-0.191
4.880,1.1123,-0.190
4.900,1.1086,-0.190
4.920,1.1048,-0.189
4.940,1.1009,-0.189
4.960,1.0973,-0.189
4.980,1.0934,-0.188
5.000,1.0897,-0.187
5.020,1.0860,-0.185
5.040,1.0823,-0.185
5.060,1.0786,-0.185
5.080,1.0749,-0.184
5.100,1.0712,-0.183
5.120,1.0676,-0.182
5.140,1.0640,-0.183
5.160,1.0603,-0.184
5.180,1.0566,-0.184
5.200,1.0529,-0.184
5.220,1.0493,-0.183
5.240,1.0455,-0.183
5.260,1.0420,-0.183
5.280,1.0382,-0.183
5.300,1.0346,-0.183
5.320,1.0310,-0.182
5.340,1.0273,-0.182
5.360,1.0237,-0.182
5.380,1.0201,-0.182
5.400,1.0164,-0.182
5.420,1.0128,-0.182
5.440,1.0091,-0.181
5.460,1.0055,-0.180
5.480,1.0020,-0.180
5.500,0.9984,-0.180
5.520,0.9947,-0.179
5.540,0.9912,-0.178
5.560,0.9877,-0.178
5.580,0.9840,-0.178
5.600,0.9805,-0.177
5.620,0.9770,-0.176
5.640,0.9735,-0.176
5.660,0.9700,-0.176
5.680,0.9665,-0.176
5.700,0.9629,-0.176
5.720,0.9594,-0.176
5.740,0.9559,-0.176
5.760,0.9524,-0.174
5.780,0.9489,-0.170
5.800,0.9456,-0.165
5.820,0.9423,-0.162
5.840,0.9392,-0.161
5.860,0.9359,-0.160
5.880,0.9327,-0.160
5.900,0.9296,-0.160
5.920,0.9263,-0.161
5.940,0.9232,-0.161
5.960,0.9199,-0.160
5.980,0.9167,-0.159
6.000,0.9136,-0.159
6.020,0.9104,-0.160
6.040,0.9072,-0.160
6.060,0.9040,-0.159
6.080,0.9009,-0.158
6.100,0.8977,-0.157
6.120,0.8946,-0.156
6.140,0.8915,-0.156
6.160,0.8884,-0.156
6.180,0.8852,-0.156
6.200,0.8822,-0.155
6.220,0.8790,-0.154
6.240,0.8760,-0.153
6.260,0.8730,-0.152
6.280,0.8699,-0.152
6.300,0.8669,-0.152
6.320,0.8639,
