"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1"
0.000,-3.6379E-4,,
0.020,-2.4252E-4,0.006,
0.040,-1.2126E-4,0.004,-0.076
0.060,-1.2126E-4,0.003,-0.042
0.080,0.0000,0.003,-0.051
0.100,0.0000,0.002,-0.084
0.120,1.2126E-4,-0.001,-0.101
0.140,0.0000,-0.003,-0.076
0.160,-1.2126E-4,-0.004,-0.042
0.180,-1.2126E-4,-0.004,-0.034
0.200,-2.4252E-4,-0.005,-0.025
0.220,-3.6379E-4,-0.006,0.000
0.240,-4.8505E-4,-0.005,0.034
0.260,-6.0631E-4,-0.004,0.042
0.280,-6.0631E-4,-0.003,0.008
0.300,-7.2757E-4,-0.003,-0.042
0.320,-7.2757E-4,-0.005,-0.067
0.340,-8.4884E-4,-0.007,-0.034
0.360,-0.0011,-0.007,0.025
0.380,-0.0012,-0.005,0.051
0.400,-0.0012,-0.004,0.034
0.420,-0.0013,-0.004,0.017
0.440,-0.0015,-0.004,0.025
0.460,-0.0015,-0.003,0.042
0.480,-0.0016,-0.002,0.051
0.500,-0.0016,-0.001,0.034
0.520,-0.0016,0.000,2.331E-16
0.540,-0.0016,-0.001,-0.025
0.560,-0.0016,-0.002,-0.017
0.580,-0.0017,-0.002,0.017
0.600,-0.0017,-0.001,0.042
0.620,-0.0017,0.000,0.051
0.640,-0.0017,0.001,0.051
0.660,-0.0017,0.002,0.051
0.680,-0.0016,0.003,0.051
0.700,-0.0016,0.004,0.051
0.720,-0.0015,0.005,0.034
0.740,-0.0013,0.006,-0.008
0.760,-0.0012,0.005,-0.059
0.780,-0.0011,0.003,-0.084
0.800,-0.0011,0.001,-0.059
0.820,-0.0011,0.000,0.008
0.840,-0.0011,0.001,0.084
0.860,-0.0011,0.004,0.109
0.880,-9.7010E-4,0.007,0.059
0.900,-7.2757E-4,0.007,-0.034
0.920,-6.0631E-4,0.005,-0.109
0.940,-6.0631E-4,0.002,-0.152
0.960,-4.8505E-4,-0.001,-0.185
0.980,-6.0631E-4,-0.005,-0.211
1.000,-7.2757E-4,-0.010,-0.202
1.020,-9.7010E-4,-0.014,-0.135
1.040,-0.0013,-0.016,-0.034
1.060,-0.0017,-0.015,0.051
1.080,-0.0019,-0.013,0.101
1.100,-0.0022,-0.011,0.135
1.120,-0.0024,-0.008,0.160
1.140,-0.0025,-0.004,0.152
1.160,-0.0025,-0.001,0.101
1.180,-0.0025,0.000,0.042
1.200,-0.0025,0.000,0.008
1.220,-0.0025,0.000,-0.008
1.240,-0.0025,0.000,-0.025
1.260,-0.0025,-0.001,-0.034
1.280,-0.0025,-0.002,-0.017
1.300,-0.0027,-0.002,0.025
1.320,-0.0027,-0.001,0.067
1.340,-0.0027,0.001,0.093
1.360,-0.0027,0.003,0.093
1.380,-0.0025,0.005,0.067
1.400,-0.0024,0.006,0.034
1.420,-0.0023,0.006,0.008
1.440,-0.0022,0.006,-0.008
1.460,-0.0021,0.006,-0.034
1.480,-0.0019,0.005,-0.067
1.500,-0.0018,0.003,-0.084
1.520,-0.0018,0.001,-0.067
1.540,-0.0018,0.000,-0.034
1.560,-0.0018,0.000,-0.008
1.580,-0.0018,0.000,0.000
1.600,-0.0018,0.000,0.000
1.620,-0.0018,0.000,-0.008
1.640,-0.0018,0.000,-0.025
1.660,-0.0018,-0.001,-0.017
1.680,-0.0018,-0.002,0.059
1.700,-0.0019,0.000,0.211
1.720,-0.0019,0.006,0.404
1.740,-0.0017,0.016,0.598
1.760,-0.0013,0.030,0.766
1.780,-6.0631E-4,0.047,0.884
1.800,6.0631E-4,0.067,0.943
1.820,0.0021,0.086,0.960
1.840,0.0040,0.105,0.960
1.860,0.0063,0.124,0.960
1.880,0.0090,0.143,0.960
1.900,0.0120,0.163,0.968
1.920,0.0155,0.182,0.985
1.940,0.0193,0.202,0.994
